t,r
0.0,32661.01758
10.02000022,32985.11328
20.02000022,32808.13672
30.02000022,33229.09766
40.02000022,33387.57812
50.05000019,33218.66797
60.07000017,33197.84375
70.09000015,32842.84766
80.11000013,33252.33594
90.12000012,33237.16797
100.1200001,33091.34766
110.1500001,33351.30859
120.1500001,34148.76953
130.1600001,34004.99609
140.17000009999998,33888.95703
150.1800001,33865.94922
160.1800001,33883.35547
170.2,33737.70312
180.23,34175.86719
190.23,33864.34375
200.23,34065.87891
210.26,34825.05859
220.26,34900.23438
230.26,34432.78125
240.2700002,34291.11328
250.2700002,34394.64062
260.2900002,34161.55078
270.3000002,33798.96875
280.3000002,34286.99609
290.3100002,34263.00781
300.3200002,34542.8125
310.3300002,35157.92188
320.3300002,34601.74219
330.34000019999996,34438.54297
340.34000019999996,34404.15234
350.3500001,34392.55859
360.3900001,34028.27344
370.3800001,34114.28516
380.3900001,34449.76562
390.42000010000004,34828.25391
400.4400001,34846.95312
410.4400001,35403.07812
420.4400001,34708.04688
430.46,34598.38672
440.47,35401.63672
450.48,35200.91016
460.5,34604.5625
470.5,35236.20312
480.5300002,35547.03516
490.5400002,35153.08203
500.56000020000005,34431.43359
510.56000020000005,34744.08594
520.5700002,34789.39453
530.5800002000001,34624.51172
540.6000001,35916.16016
550.6200001,35865.72656
560.6200001,35295.28906
570.6300001,34950.49609
580.6400001000001,35506.77344
590.6300001,35693.33594
600.6500001,35815.90625
610.6600001,35957.99219
620.6800001,36202.35156
630.6800001,35788.62891
640.7,35772.13672
650.6900001,36296.46875
660.72,36259.18359
670.72,36254.11328
680.75,35942.53906
690.76,36340.96875
700.7700002,36283.57422
710.7800002,36879.48828
720.8000002,36357.99219
730.8100002,36699.04297
740.8300002000001,36606.08984
750.8400002000001,36623.35938
760.8300002000001,36442.73828
770.8400002000001,36823.02734
780.8700001,36707.44922
790.8900001000001,37236.66797
800.8900001000001,37194.52734
810.8800001,36811.30078
820.8900001000001,37274.27344
830.9100001,37421.33203
840.9400001,37156.54688
850.95,37458.79688
860.95,37542.39844
870.97,37418.18359
880.98,37449.76562
890.99,37866.03906
901.0,37962.10938
911.0,38326.65625
921.0,38238.83594
931.01,38665.48828
941.0200002,38068.10156
951.0200002,38427.16016
