t,r
0.0,20612.94531
10.01999998,20672.54297
20.03999996,20575.29102
30.04999995,20527.26562
40.05999994,20527.45117
50.06999993,20624.05078
60.07999992,20667.12695
70.08999991,20635.31641
80.08999991,20689.10156
90.0999999,20667.42578
100.1099999,20710.68359
110.1299999,20640.39648
120.1399999,20596.95898
130.1499999,20596.95898
140.1499999,20608.2168
150.16999980000003,20613.10938
160.17999980000002,20510.30078
170.20999980000002,20569.39844
180.23,20644.86328
190.23,20754.5293
200.24,20748.6875
210.27,20797.93164
220.28,20814.62305
230.3,20710.68359
240.30999989999998,20803.41797
250.3299999,20781.85156
260.3399999,20847.41016
270.3399999,20732.45508
280.3499999,20853.23047
290.3499999,20830.7832
300.3599999,20765.20117
310.3799999,20672.69336
320.38999989999996,20677.52344
330.3999999,20710.12695
340.4199998,20737.77344
350.4399998,20792.91992
360.4499998,20776.13867
370.4599998,20787.20703
380.47,20781.85156
390.49,20715.70898
400.49,20732.45508
410.49,20765.20117
420.51,20798.04688
430.52,20759.86328
440.54,20655.8418
450.5599999,20699.67383
460.56999989999997,20798.04688
470.57999989999996,20797.93164
480.5999999,20759.86328
490.6199999,20836.60742
500.6199999,20775.89258
510.6299999,20842.00586
520.6199999,20825.39062
530.6399999,20831.0
540.6499999,20858.53906
550.6599997999999,20969.35938
560.6699997999999,20830.7832
570.6899998,20847.51562
580.6999998,20869.67383
590.7099998,20869.77148
600.7099998,20831.0
610.72,20830.89258
620.72,20858.43945
630.73,20803.07031
640.75,20891.68359
650.77,20820.11523
660.77,20825.5
670.78,20825.28125
680.79,20836.18164
690.8,20831.0
700.8099999,20853.12891
710.8199999,20880.5293
720.8299999,20930.32031
730.8299999,20908.20703
740.8399999,20842.00586
750.8699999,20853.23047
760.8899999,20958.51172
770.8899999,20913.66406
780.8999999,20842.11328
790.8999999,20825.39062
800.9199997999999,20847.61719
810.9299998,20930.8125
820.9299998,20825.5
830.9499998,20847.51562
840.9499998,20831.0
850.9599998,20863.95703
860.97,20798.39844
870.98,20930.73047
880.99,20880.62305
891.01,20808.67773
901.01,20908.4707
911.02,20941.59766
921.04,20941.51758
931.0699999,20902.66406
941.0799999,20880.71875
951.1099998999999,20991.81641
961.1099998999999,20853.02539
971.1199999,20885.96484
981.1399999,20936.11914
991.1399999,20908.64648
1001.15,20792.68359
1011.17,20792.56641
1021.17,20836.50195
1031.19,20858.33789
1041.19,20914.0957
1051.21,20880.71875
1061.24,20969.57422
1071.24,20908.38281
1081.26,20869.77148
1091.26,20914.0957
1101.27,20936.11914
1111.28,20952.79883
1121.28,21047.91211
1131.29,20986.16602
1141.29,20952.56836
1151.3,21042.14453
1161.32,20941.83398
1171.32,20986.23242
1181.33,20991.88086
1191.34,21003.17969
1201.36,20963.93164
1211.37,20914.0957
1221.39,21098.49609
1231.4,20947.23438
1241.41,20997.5293
1251.42,21002.92773
1261.42,21025.54688
1271.43,20997.27344
1281.45,20964.00391
1291.46,20925.01758
1301.48,20964.15039
1311.49,20969.35938
1321.5,21025.49023
1331.5,21030.92383
1341.52,20975.07617
1351.53,20952.79883
1361.54,20980.6543
1371.55,21053.375
1381.56,21059.14062
1391.56,21025.31836
1401.58,21098.45898
1411.6,21053.57422
1421.6,21002.80078
1431.6,20986.23242
1441.62,20975.00586
1451.62,21059.04297
1461.63,21025.43359
1471.65,21053.375
1481.66,21121.14453
1491.68,20930.32031
1501.68,21064.75781
1511.7,21042.25
1521.71,21019.77539
1531.72,20952.87305
1541.73,20952.64453
1551.73,20941.67578
1561.75,20963.93164
1571.75,20997.40039
1581.76,20913.92383
1591.77,20975.28711
1601.77,20924.84961
1611.78,20947.39062
1621.8,20941.59766
1631.82,21053.375
1641.82,21025.43359
1651.83,21036.20703
1661.83,21036.69336
1671.84,21081.50586
1681.84,21115.39648
1691.86,21126.76367
1701.89,21092.7793
1711.9,21075.91797
1721.92,21092.7793
1731.92,21019.83398
1741.95,21058.94727
1751.95,21070.28906
1761.96,21047.75781
1771.96,20991.88086
1781.98,21092.69922
1791.99,21104.21094
1802.02,21092.7793
1812.04,21058.94727
1822.06,21008.45898
1832.06,21047.75781
1842.07,21081.5918
1852.07,21092.85742
1862.08,21081.46484
1872.1,21103.99219
1882.11,21092.9375
1892.12,21206.20703
1902.12,21059.1875
1912.13,21064.57227
1922.13,21092.85742
1932.14,21160.73828
1942.14,21092.89648
1952.17,21053.27539
1962.17,21047.75781
1972.17,21019.77539
1982.19,21064.61719
1992.2,21003.05273
2002.21,20991.81641
2012.22,21132.36133
2022.24,21059.0918
2032.24,21070.33594
2042.25,21064.57227
2052.27,21087.09961
2062.27,21053.32617
2072.29,21075.91797
2082.29,21115.36328
2092.3,21075.87305
2102.3,21183.41797
2112.32,21166.41016
2122.34,21115.49609
2132.34,21200.48242
2142.36,21075.87305
2152.38,21143.73828
2162.4,21121.17578
2172.4,21137.99414
2182.41,21104.13672
2192.42,21160.75977
2202.44,21059.1875
2212.44,21042.14453
2222.46,21081.46484
2232.47,21149.45117
2242.48,21149.35352
2252.5,21064.43164
2262.5,21104.0293
2272.52,21155.0
2282.54,21172.06836
2292.53,21143.63477
2302.56,21109.74609
2312.57,21194.79883
2322.57,21092.82031
2332.58,21104.13672
2342.59,21172.0332
2352.6,21138.07617
