t,r
0.0,20748.94336
10.01999998,20743.09961
20.02999997,20639.92578
30.04999995,20748.94336
40.04999995,20721.69922
50.05999994,20732.45508
60.06999993,20847.51562
70.07999992,20831.0
80.08999991,20897.39844
90.08999991,20798.16406
100.0999999,20852.92383
110.1299999,20913.75195
120.1399999,21025.43359
130.13999990000002,20930.8125
140.1499999,20891.31445
150.16999980000003,20963.7832
160.17999980000002,20830.7832
170.21,20952.79883
180.23,20683.38672
190.23,20930.40234
200.24,20936.03906
210.27,20869.37891
220.27,20919.46875
230.29,20947.39062
240.30999989999998,21064.57227
250.3299999,20991.88086
260.32999989999996,20798.16406
270.3399999,20897.30859
280.3499999,20974.93555
290.3499999,21030.70117
300.3499999,20924.84961
310.3799999,20986.23242
320.38999989999996,20880.62305
330.3999999,20847.41016
340.40999980000004,20786.96875
350.4299998,20969.71875
360.4399998,20924.76367
370.46,20864.35352
380.47,20781.97266
390.49,20919.55273
400.49,20930.56641
410.49,20919.38477
420.5,21030.92383
430.52,20924.93164
440.55,20935.95898
450.5599999,21008.51953
460.57999989999996,20974.93555
470.57999989999996,20903.02148
480.5999999,21042.25
490.6099999,20947.23438
500.6199999,20891.77539
510.6299999,20897.39844
520.6199999,20930.48438
530.6299999,20930.56641
540.6399999,21019.77539
550.6599997999999,20897.03516
560.6599997999999,20941.51758
570.6799998,20991.61914
580.6899998,20941.83398
590.7,21008.58203
600.71,20863.85742
610.71,20908.20703
620.72,20699.38867
630.73,20947.3125
640.75,21008.58203
650.76,21053.52344
660.77,20986.36719
670.78,21115.36328
680.79,21008.51953
690.79,20958.21289
700.8,21115.46289
710.8199999,21070.19922
720.8199999,21002.99023
730.8299999,21025.375
740.8299999,20997.5957
750.8599998999999,21211.88477
760.8799999,21297.78516
770.8899999,21200.49219
780.8899999,21087.18164
790.9099997999999,21143.73828
800.9099997999999,21036.58789
810.9199997999999,21194.84766
820.9299998,21154.97656
830.9399998,21132.38867
840.95,21115.29688
850.96,21070.28906
860.97,20886.62109
870.97,21280.51562
880.99,21109.74609
891.0,21092.7793
901.01,21240.44141
911.02,21109.7832
921.05,21081.42188
931.0699999,21155.08984
941.0699999,21229.01172
951.0999999,21036.47852
961.1099998999999,20925.26562
971.1199999,21064.57227
981.1299999,21109.7832
991.1299999,20891.68359
1001.15,20969.64453
1011.17,21126.76367
1021.17,21087.18164
1031.18,21132.41992
1041.19,20980.6543
1051.21,21098.42188
1061.24,21177.73438
1071.24,20986.0293
1081.25,21031.0918
1091.25,21104.06445
1101.27,21143.71094
1111.27,21121.04883
1121.28,21149.32812
1131.29,21031.14648
1141.29,21092.7793
1151.3,20941.75586
1161.32,20891.95898
1171.32,20886.33984
1181.32,21030.98047
1191.34,21194.78711
1201.35,21087.18164
1211.37,21019.71484
1221.38,20958.36133
1231.39,21070.28906
1241.4,21092.82031
1251.41,21098.57031
1261.41,21172.10547
1271.43,21076.00586
1281.44,21048.01367
1291.45,21137.99414
1301.47,20919.55273
1311.47,21042.35352
1321.49,21126.67383
1331.51,21160.73828
1341.51,20864.05664
1351.53,20958.51172
1361.54,21058.94727
1371.54,21058.99609
1381.56,21121.04883
1391.56,21115.49609
1401.58,21053.32617
1411.59,21003.11719
1421.6,21047.80859
1431.61,21059.04297
1441.61,21081.5918
1451.62,21036.69336
1461.63,21087.34766
1471.64,21098.5332
1481.66,21109.7832
1491.67,21104.06445
1501.68,21211.89844
1511.69,21053.57422
1521.71,21104.13672
1531.72,21149.35352
1541.73,21081.54688
1551.73,21223.30078
1561.75,21087.18164
1571.74,21211.89844
1581.76,21019.95117
1591.75,21087.14258
1601.77,21166.41016
1611.78,20919.46875
1621.8,21217.60742
1631.81,21098.42188
1641.82,21064.57227
1651.82,21059.0918
1661.83,21126.73438
1671.84,21183.38867
1681.84,21109.71289
1691.86,21059.04297
1701.88,21132.38867
1711.89,21297.7207
1721.92,20997.4668
1731.92,21092.85742
1741.94,21098.30859
1751.94,21109.74609
1761.95,21229.00977
1771.96,21070.33594
1781.97,20975.00586
1791.99,21019.71484
1802.01,21286.24023
1812.03,21081.42188
1822.06,21064.71094
1832.05,21240.43945
1842.07,21206.19141
1852.07,21132.30273
1862.08,21280.53711
1872.09,21109.74609
1882.11,21132.41992
1892.12,21217.59961
1902.12,21251.87891
1912.12,21059.14062
1922.13,20986.30078
1932.13,21229.01367
1942.14,21081.50586
1952.15,21223.28711
1962.16,21309.25391
1972.16,21274.79102
1982.19,21087.26367
1992.2,21172.0332
2002.2,21149.37695
2012.22,21229.00977
2022.24,21036.58789
2032.24,21031.14648
2042.25,21109.85156
2052.26,21092.7793
2062.27,21172.05078
2072.28,21121.08008
2082.29,21070.24414
2092.29,21217.5957
2102.3,21132.38867
2112.32,21166.43164
2122.33,21031.03516
2132.34,21120.88867
2142.35,21274.79102
2152.38,21160.7168
2162.39,21183.41797
2172.4,21081.5918
2182.4,21200.50195
2192.41,21286.2793
2202.42,21326.54883
2212.44,21263.32812
2222.44,21189.08008
2232.46,21166.3125
2242.48,21160.78125
2252.5,21257.60547
2262.49,21070.42383
2272.52,21064.57227
2282.54,21263.33594
2292.53,21229.00977
2302.55,21223.30664
2312.57,21246.16211
2322.57,21286.30273
2332.57,21286.25391
2342.58,21257.60156
2352.59,21361.05859
2362.61,21424.98828
2372.6,21177.75
2382.62,21160.7168
2392.62,21384.26758
2402.63,21246.16016
2412.65,21314.98828
2422.66,21240.44141
2432.67,21002.80078
2442.69,21269.04102
2452.7,21223.30078
2462.72,21269.06641
2472.73,21104.06445
2482.74,21251.86914
2492.76,21081.54688
2502.78,21315.0293
2512.78,21223.28711
2522.79,21211.91211
2532.8,21138.07617
2542.8,21240.43945
2552.81,21075.91797
2562.82,21384.22656
2572.82,21211.88477
2582.83,21338.00586
2592.82,21257.59766
2602.83,21459.94922
2612.84,21378.51367
2622.85,21297.78516
2632.87,21234.72266
2642.9,21401.6582
2652.92,21189.12109
2662.9,21257.59766
2672.93,21309.29102
2682.94,21251.88086
2692.95,21274.79102
2702.96,21211.89844
2712.95,21149.37695
2722.97,21314.9668
2732.95,21338.03125
2742.98,21132.44727
2752.98,21143.60938
2762.98,21143.71094
2772.98,21229.00586
2782.99,21177.75
2793.0,21087.14258
2803.02,21183.46289
2813.03,21291.98047
2823.05,21166.39258
2833.07,21183.46289
2843.08,21234.73242
2853.09,21274.77148
2863.09,21349.63086
2873.09,21251.88086
2883.1,21189.14844
2893.11,21251.88086
2903.13,21189.12109
2913.14,21269.07422
2923.14,21172.10547
2933.17,21160.7168
2943.17,21200.52344
2953.18,21211.89844
2963.21,21303.50195
2973.2,21390.18164
2983.2,21263.32227
2993.21,21355.3457
3003.21,21338.05859
3013.22,21217.5957
3023.22,21332.26562
3033.23,21401.61328
3043.23,21251.87891
3053.25,21263.33594
3063.24,21076.00586
3073.25,21291.9668
3083.25,21172.06836
3093.26,21104.17383
3103.28,21121.04883
3113.29,21217.60742
3123.29,21223.31641
3133.3,21172.06836
3143.32,21047.75781
3153.33,21223.30078
3163.34,21361.02734
3173.36,21234.72656
3183.38,21297.73828
3193.38,21109.7832
3203.38,21154.95508
3213.38,21286.26562
3223.39,21246.15625
3233.4,21384.30664
3243.41,21343.82617
3253.41,21200.48242
3263.41,21223.29297
3273.43,21280.57031
3283.44,21280.53711
3293.44,21378.47656
3303.46,21326.50391
3313.46,21240.43945
3323.47,21263.34766
3333.47,21211.90625
3343.49,21280.48438
3353.49,21109.81641
3363.5,21280.54883
3373.51,21338.05859
3383.52,21332.24023
3393.55,21332.31641
3403.55,21223.30664
3413.56,21338.13867
3423.58,21320.76562
3433.6,21217.61328
3443.6,21378.58984
3453.6,21366.97266
3463.61,21160.67383
3473.62,21355.3457
3483.63,21274.77148
3493.65,21390.0625
3503.64,21274.7832
3513.66,21338.05859
3523.66,21286.2793
3533.67,21430.70508
3543.67,21430.70508
3553.7,21378.51367
3563.71,21367.00781
3573.72,21407.50586
3583.74,21361.15625
3593.76,21240.44141
3603.75,21217.58203
3613.77,21396.02734
3623.78,21390.14258
3633.79,21223.28711
3643.81,21332.36523
3653.81,21297.70898
3663.83,21315.0293
3673.82,21286.26562
3683.85,21217.5957
3693.85,21234.72266
3703.87,21246.16016
3713.88,21343.82617
3723.89,21257.61133
3733.89,21320.72266
3743.9,21246.16016
3753.91,21149.32812
3763.94,21149.37695
3773.95,21274.80859
3783.96,21200.48242
3793.97,21149.45117
3803.97,21234.72852
3814.0,21234.72461
3824.01,21223.29688
3834.04,21240.43945
3844.06,21166.41016
3854.05,21332.29102
3864.07,21338.03125
3874.07,21303.51953
3884.09,21396.02734
3894.09,21257.62109
3904.1,21229.00977
3914.11,21257.61133
3924.12,21401.83203
3934.12,21177.7168
3944.13,21326.57422
3954.14,21338.08398
3964.13,21280.56055
3974.15,21315.00781
3984.15,21251.87891
3994.18,21269.05078
4004.2,21229.00977
4014.2,21263.32812
4024.21,21177.7168
4034.2,21160.7168
4044.22,21419.125
4054.25,21489.16992
4064.25,21315.0293
4074.27,21413.36133
4084.28,21367.04297
4094.28,21234.72461
4104.29,21320.74414
4114.29,21315.08984
4124.31,21366.9043
4134.31,21419.125
4144.32,21269.08203
4154.33,21257.61523
4164.34,21315.04883
4174.36,21263.35352
4184.38,21326.45898
4194.39,21343.77148
4204.41,21257.60547
4214.43,21309.29102
4224.43,21269.06641
4234.44,21413.45508
4244.45,21436.57617
4254.46,21395.85742
4264.47,21401.6582
4274.48,21500.88086
4284.49,21372.72461
4294.51,21642.41211
4304.54,21524.26367
4314.55,21121.04883
4324.58,21349.54102
4334.58,21465.78906
4344.58,21407.55273
4354.6,21419.17383
4364.6,21378.55273
4374.62,21636.36914
4384.64,21366.83789
4394.63,21413.4082
4404.65,21395.77539
4414.65,21297.78516
4424.66,21378.51367
4434.7,21355.53516
4444.71,21257.5918
4454.72,21378.47656
4464.74,21378.58984
4474.74,21303.53516
4484.74,21384.22656
4494.75,21384.42383
4504.76,21361.22266
4514.76,21291.98047
4524.77,21395.85742
4534.78,21361.18945
4544.79,21246.15625
4554.81,21442.56445
4564.84,21303.53516
4574.84,21320.74414
4584.86,21309.31055
4594.87,21500.74023
4604.89,21115.33008
4614.9,21483.32031
4624.92,21297.7207
4634.92,21343.85547
4644.93,21149.30469
4654.93,21401.61328
4664.94,21430.75586
4674.96,21320.76562
4684.96,21407.59766
4694.97,21263.34766
4704.99,21297.78516
4714.98,21483.12305
4724.99,21512.60352
4734.99,21453.99805
4745.01,21098.49609
4755.01,21541.72266
4765.02,21320.78906
4775.03,21413.31445
4785.03,21506.66797
4795.02,21460.00977
4805.03,21367.11133
4815.04,21401.91992
4825.04,21269.08984
4835.05,21292.00781
4845.06,21401.70117
4855.08,21280.58203
4865.08,21390.22461
4875.08,21506.59766
4885.09,21488.9668
4895.11,21407.55273
4905.12,21436.52148
4915.15,21378.62695
4925.14,21606.85547
4935.16,21309.29102
4945.16,21390.18164
4955.17,21518.24414
4965.19,21583.02734
4975.19,21460.00977
4985.2,21442.45508
4995.21,21553.82422
5005.23,21401.70117
5015.22,21459.94922
5025.22,21338.16406
5035.23,21512.38281
5045.25,21571.23242
5055.25,21407.50586
5065.27,21390.14258
5075.3,21378.51367
5085.3,21401.74609
5095.31,21494.88477
5105.32,21483.05664
5115.32,21309.27148
5125.35,21689.88086
5135.36,21372.79883
5145.36,21559.71484
5155.36,21618.48633
5165.37,21483.32031
5175.37,21583.30859
5185.36,21583.12109
5195.4,21361.32031
5205.4,21654.29102
5215.42,21436.68359
5225.42,21430.80859
5235.42,21500.95312
5245.45,21332.33984
5255.46,21524.3418
5265.47,21524.3418
5275.48,21477.53711
5285.49,21553.82422
5295.48,21355.37891
5305.52,21390.22461
5315.52,21355.3457
5325.52,21297.75391
5335.54,21326.57422
5345.54,21459.71289
5355.55,21419.17383
5365.58,21419.27148
5375.6,21494.95508
5385.61,21495.02539
5395.63,21559.88867
5405.63,21606.55273
5415.64,21448.17188
5425.66,21624.93555
5435.69,21553.65234
5445.69,21361.18945
5455.7,21361.15625
5465.71,21460.00977
5475.72,21460.00977
5485.73,21612.77344
5495.75,21378.55273
5505.75,21547.68359
5515.76,21524.18555
5525.77,21326.57422
5535.78,21384.22656
5545.79,21431.06836
5555.8,21524.3418
5565.81,21425.03906
5575.82,21583.2168
5585.83,21349.69141
5595.84,21442.45508
5605.85,21471.50195
5615.87,21483.45312
5625.87,21506.66797
5635.89,21465.60352
5645.91,21286.29102
5655.9,21424.98828
5665.9,21460.00977
5675.91,21424.93945
5685.92,21436.57617
5695.93,21263.34766
5705.93,21506.66797
5715.94,21559.2793
5725.94,21483.32031
5735.95,21343.88477
5745.94,21372.76172
5755.95,21460.00977
5765.96,21292.03711
5775.98,21636.47852
5785.99,21303.51953
5796.0,21349.57031
5806.01,21401.70117
5816.02,21425.03906
5826.04,21355.43945
5836.04,21506.66797
5846.05,21424.88867
5856.06,21448.45508
5866.06,21536.08984
5876.07,21506.88672
5886.08,21536.16992
5896.08,21413.21875
5906.1,21372.79883
5916.11,21257.60547
5926.11,21553.56641
5936.13,21500.95312
5946.13,21349.60156
5956.15,21553.48047
5966.15,21395.85742
5976.17,21512.82812
5986.17,21465.66406
5996.18,21548.1875
6006.18,21536.25195
6016.18,21454.05664
6026.2,21384.38477
6036.22,21384.30664
6046.24,21471.62891
6056.25,21407.6875
6066.26,21280.54883
6076.27,21471.62891
6086.29,21489.10156
6096.28,21471.37891
6106.3,21407.64258
6116.3,21436.73828
6126.32,21413.26758
6136.33,21395.90039
6146.33,21425.08984
6156.35,21390.18164
6166.36,21536.00977
6176.37,21419.2207
6186.36,21512.60352
6196.38,21506.74219
6206.4,21571.32422
6216.4,21372.68945
6226.42,21501.02344
6236.43,21343.88477
6246.43,21401.61328
6256.43,21229.01953
6266.45,21530.21289
6276.46,21361.22266
6286.47,21286.25391
6296.47,21460.25
6306.49,21471.69141
6316.5,21424.93945
6326.51,21465.84961
6336.52,21448.45508
6346.53,21442.50977
6356.54,21424.98828
6366.55,21361.25586
6376.57,21483.25391
6386.58,21642.41211
6396.58,21372.68945
6406.59,21524.41797
6416.59,21477.53711
6426.6,21471.69141
6436.62,21512.82812
6446.62,21286.26562
6456.64,21565.07617
6466.65,21506.66797
6476.68,21618.79883
6486.66,21355.4707
6496.69,21349.57031
6506.69,21471.69141
6516.69,21395.81641
6526.69,21430.75586
6536.7,21424.98828
6546.71,21407.59766
6556.72,21524.26367
6566.72,21395.94141
6576.73,21500.81055
6586.74,21559.71484
6596.76,21407.50586
6606.77,21489.24023
6616.76,21442.40039
6626.77,21436.57617
6636.78,21424.88867
6646.78,21436.73828
6656.79,21395.94141
6666.8,21280.51562
6676.81,21471.81836
6686.83,21390.10156
6696.84,21547.68359
6706.84,21624.93555
6716.85,21349.69141
6726.86,21448.22656
6736.88,21430.75586
6746.9,21269.06641
6756.9,21436.4707
6766.9,21530.45117
6776.9,21269.05859
6786.91,21500.66797
6796.91,21424.93945
6806.93,21343.74609
6816.93,21542.13477
6826.95,21257.60156
6836.96,21401.70117
6846.97,21367.07617
6856.97,21565.25195
6866.98,21559.80078
6876.98,21506.59766
6886.99,21589.11914
6896.99,21665.94922
6907.02,21648.57422
6917.03,21442.50977
6927.04,21471.69141
6937.04,21448.11328
6947.05,21530.29297
6957.07,21488.90234
6967.07,21378.62695
6977.08,21571.50586
6987.1,21600.64453
6997.11,21500.88086
7007.12,21489.16992
