t,r
0.0,43449.375
9.99000001,43337.16797
19.99000001,43737.64844
30.01999998,43512.38672
40.01999998,43505.14453
50.02999997,43775.84766
60.04999995,43914.39844
70.03999996,43664.61328
80.05999994,43678.80078
90.06999993,44011.99609
100.06999990000001,43908.54297
110.06999990000001,43948.84766
120.06999990000001,43679.59766
130.0999999,43618.48828
140.0999999,43833.84375
150.1199999,43852.5625
160.1299999,44064.39844
170.1299999,44046.57031
180.13999990000002,44287.71094
190.17999980000002,44029.76953
200.1899998,44181.58203
210.2,44493.66406
220.21,44347.78906
230.23,43968.08203
240.23,44374.06641
250.24,44029.76953
260.25,44098.03125
270.26,44065.41797
280.26,44072.84766
290.27,44225.30469
300.3,44251.94922
310.31999989999997,44120.875
320.32999989999996,43901.64062
330.3499999,44010.5
340.3599999,44027.30469
350.3799999,44045.10938
360.3799999,44299.45312
370.3999999,44119.44531
380.3999999,44170.22656
390.4199998,44124.40625
400.4399998,44175.51172
410.45,44004.08984
420.45,43980.40234
430.47,43988.29297
440.47,44079.25
450.48,44052.52734
460.49,44343.36328
470.48,44210.08594
480.51,44414.88672
490.5,44275.21484
500.53,44327.0
510.55,44278.28125
520.5599999,44182.43359
530.5699999,44523.92969
540.5799999,44353.99219
550.5799999,44335.11719
560.5899999,44595.97656
570.5999999,44361.51562
580.6099998999999,44306.38281
590.6299999,44398.57422
600.6399999,44374.0625
610.6499999,44397.89453
620.6699997999999,44221.99219
630.6799998,44276.36328
640.6899998,44172.16797
650.71,44231.97656
660.71,44364.02734
670.74,44350.16797
680.76,44263.30078
690.77,44704.27734
700.79,44328.32422
710.8,44683.65234
720.8099999,44556.13672
730.8299999,44643.66406
740.8599998999999,44749.90625
750.8599998999999,44353.99219
760.8599998999999,44667.23438
770.8599998999999,44443.23047
780.8899999,44617.07812
790.8799999,44698.92969
800.8899999,44649.43359
810.9099997999999,44653.34766
820.9199997999999,44373.36328
830.9199997999999,44437.53906
840.95,44640.63281
850.96,44478.50781
860.97,44460.85156
870.97,44540.39062
880.99,44743.26953
890.99,44653.14453
900.99,44508.82031
910.99,44585.96875
921.01,44544.14062
931.03,44587.83984
941.02,44472.82812
951.02,44566.36328
961.04,44326.26562
971.0699999,44592.24219
981.0799999,44600.51172
991.0799999,44562.51172
1001.09,44439.44141
1011.12,44725.39453
1021.13,44887.84375
1031.14,44405.5
1041.15,44591.57031
1051.17,44618.94922
1061.18,44607.60547
1071.17,44591.70703
1081.2,44165.24609
1091.2,44534.03516
1101.21,44510.69922
1111.23,44213.14062
1121.23,44115.53516
1131.24,44501.83984
1141.25,44523.33594
1151.26,44419.91797
1161.25,44420.58984
1171.26,44651.96875
1181.26,44313.14062
1191.3,44251.37891
1201.3,44337.61719
1211.33,44162.75781
1221.34,44651.96875
1231.36,44511.34375
1241.36,44445.74609
1251.4,44431.88281
1261.4,44416.78906
1271.42,44660.76562
1281.43,44629.10156
1291.45,44556.78906
1301.45,44278.28906
1311.47,44460.21875
1321.5,44483.53906
1331.52,44589.16797
1341.53,44316.39062
1351.55,44582.10938
1361.55,44527.09766
1371.58,44242.76562
1381.58,44305.62109
1391.6,44537.21094
1401.62,44491.74219
1411.63,44527.75
1421.64,44421.81641
1431.65,44577.16406
1441.66,44470.30859
1451.67,44638.08984
1461.69,44441.33594
1471.7,44604.91797
1481.73,44589.84375
1491.75,44472.20312
1501.77,44469.04688
1511.79,44470.30469
1521.8,44495.51562
1531.81,44732.05078
1541.81,44651.96875
1551.83,44732.75781
1561.83,44454.55469
1571.85,44604.54297
1581.86,44754.60938
1591.86,44685.73828
1601.88,45065.05469
1611.9,44790.41016
1621.92,44615.72656
1631.93,44765.23047
1641.93,44706.12109
1651.94,44418.6875
1661.95,44415.51172
1671.95,44727.66406
1681.96,44588.50391
1691.98,44636.53906
1702.01,44592.24609
1712.02,44817.83203
1722.02,44455.17969
1732.04,44795.16406
1742.06,44529.69922
1752.06,44801.01172
1762.07,44555.57812
1772.08,44626.5625
1782.08,44451.40625
1792.11,44442.57422
1802.12,44609.46875
1812.13,44553.04688
1822.15,44806.125
1832.16,44971.25391
1842.17,44816.35938
1852.16,45043.55078
1862.18,44798.08594
1872.17,44894.03906
1882.19,44845.27734
1892.19,44771.05078
1902.21,44621.32422
1912.23,44684.35547
1922.24,44769.61328
1932.26,44754.29688
1942.27,44827.33203
1952.29,44908.41406
1962.29,44646.20703
1972.31,44628.42188
1982.33,44818.91797
1992.35,44763.39453
2002.35,44779.44922
2012.35,44812.33594
2022.37,44842.71484
2032.38,44740.00391
2042.41,44598.79688
2052.42,44538.51172
2062.43,44642.49219
2072.43,44595.4375
2082.44,44737.86328
2092.47,44474.08984
2102.49,44956.5625
2112.49,44689.44141
2122.52,44865.05078
2132.53,44622.84375
2142.54,44830.64062
2152.55,44825.51562
2162.55,44691.98438
2172.56,44537.85938
2182.57,44294.44531
2192.56,44417.45312
2202.58,44673.47266
2212.58,44440.05859
2222.62,44713.07031
2232.63,44460.22266
2242.65,44181.57422
2252.66,44555.57812
2262.67,44599.31641
2272.66,44586.64062
2282.67,44570.65625
2292.69,44634.86719
2302.72,44578.36328
2312.72,44775.83594
2322.74,44344.68359
2332.75,44472.82812
2342.76,44868.35938
2352.78,44639.25781
2362.76,44449.51172
2372.79,44860.98438
2382.81,44470.30469
2392.82,44606.25781
2402.84,44410.53125
2412.85,44573.29688
2422.86,44835.02344
2432.87,44757.56641
2442.89,44741.12891
2452.91,44936.72266
2462.92,44688.05469
2472.94,44758.28516
2482.96,44751.33984
2492.97,44839.07031
2502.98,44904.3125
2512.99,44366.53516
2522.99,44549.85938
2533.01,44805.02344
2543.03,44827.34375
2553.03,44831.71875
2563.06,44714.91406
2573.08,44669.77344
2583.08,44899.9375
2593.1,44662.62109
2603.11,44699.88672
2613.13,44616.41016
2623.13,44924.89062
2633.15,44778.72656
2643.17,44386.01562
2653.17,44703.57812
2663.18,44707.96875
2673.21,44507.49219
2683.24,44604.91797
2693.26,44626.05859
2703.28,44639.76172
2713.3,44736.02734
2723.31,44640.44531
2733.32,44838.32812
2743.34,44512.58203
2753.34,44558.76562
2763.35,44732.75781
2773.36,44616.25
2783.36,44937.5
2793.38,44657.53906
2803.39,44491.74609
2813.41,44916.41016
2823.43,44603.19531
2833.43,44775.78125
2843.44,44567.57031
2853.45,44720.71875
2863.47,44713.50781
2873.48,44606.92969
2883.5,44713.07031
2893.5,44679.26172
2903.5,44566.91406
2913.51,44362.11328
2923.54,44739.70703
2933.55,44392.33594
2943.59,44473.45703
2953.6,44605.58594
2963.62,44341.44922
2973.65,44501.83984
2983.65,44414.88281
2993.66,44604.39062
3003.68,44576.38281
3013.69,44906.12891
3023.71,44742.25781
3033.72,44842.71484
3043.73,44794.79688
3053.74,44725.81641
3063.74,44839.06641
3073.74,44842.71484
3083.75,44706.12891
3093.77,44858.10156
3103.78,44752.45703
3113.81,44755.73047
3123.83,45099.70312
3133.83,44875.75781
3143.85,44998.82812
3153.86,45097.92578
3163.85,44831.375
3173.87,44959.91406
3183.87,44951.40625
3193.89,44950.63672
3203.9,44992.67188
3213.91,44876.0625
3223.92,44959.37891
3233.92,45187.09375
3243.94,44862.16016
3253.96,45199.26172
3263.96,44918.21875
3273.99,45205.32422
3284.0,45041.76562
3294.01,45046.13672
3304.02,45132.48438
3314.03,45030.61719
3324.05,45004.58594
3334.05,45055.51172
3344.05,45002.20312
3354.08,45453.29688
3364.07,45247.05469
3374.09,45130.82422
3384.1,45048.55469
3394.11,45191.45703
3404.12,45238.34766
3414.12,45007.37109
3424.14,45322.88672
3434.17,45235.73438
3444.17,45113.37109
3454.19,45172.32031
3464.21,44866.23047
3474.21,45105.70312
3484.22,45068.61328
3494.24,45054.53906
3504.26,45090.01953
3514.26,45148.16406
3524.26,45022.07031
3534.28,44717.73438
3544.3,44851.89844
3554.31,45137.78125
3564.33,44734.89844
3574.35,45240.97266
3584.37,44934.92969
3594.37,45070.23828
3604.39,44847.83984
3614.39,45308.02734
3624.4,44801.375
3634.41,44927.96484
3644.43,45059.06641
3654.45,45281.01562
3664.46,45214.0
3674.48,45189.69531
3684.48,45038.19922
3694.51,45046.9375
3704.51,44979.76562
3714.52,44919.75
3724.53,45096.15625
3734.54,44953.98438
3744.56,45142.04688
3754.57,45061.5
3764.6,45131.55469
3774.6,45123.03906
3784.6,44955.53906
3794.63,44989.52734
3804.63,45064.24609
3814.63,45066.83594
3824.64,45242.69531
3834.67,45195.8125
3844.67,45114.43359
3854.68,45137.67969
3864.68,44638.08984
3874.71,44880.44922
3884.72,44912.03516
3894.72,44894.79297
3904.74,44936.98828
3914.76,44656.58203
3924.77,44969.44922
3934.79,44735.3125
3944.81,44784.94531
3954.81,44759.71875
3964.83,44701.47266
3974.84,44488.58203
3984.85,44605.58594
3994.86,44840.55859
4004.85,44745.51953
4014.87,44709.81641
4024.89,44769.22266
4034.9,44771.05078
4044.91,44489.83594
4054.91,44655.19531
4064.95,44751.03516
4074.95,45073.79688
4084.96,45139.35156
4095.0,44650.10938
4105.0,44604.91016
4115.02,44517.64062
4125.04,44956.5625
4135.05,44698.92578
4145.06,44929.27344
4155.08,44918.21484
4165.09,44718.875
4175.1,44706.57031
4185.1,44599.99219
4195.12,44795.16797
4205.14,44714.48438
4215.15,44622.67578
4225.17,44640.4375
4235.19,44788.23047
4245.21,44536.64062
4255.21,44787.84375
4265.22,44713.07031
4275.24,45001.20703
4285.25,45035.97266
4295.27,44697.77734
4305.28,44916.125
4315.31,44804.29688
4325.32,44783.10938
4335.31,44677.18359
4345.34,45241.85938
4355.34,45060.04688
4365.36,44603.87109
4375.36,44744.08984
4385.38,44686.19922
4395.4,44537.20703
4405.42,44802.46484
4415.41,44551.73828
