t,r
0.0,34566.58203
10.01999998,34719.85156
20.01999998,34534.75391
30.04999995,34647.03906
40.06999993,34874.44922
50.07999992,34812.96875
60.08999991,34903.58984
70.0999999,34978.85938
80.1099999,35221.125
90.12999988,35118.26562
100.1399999,35119.74219
110.1399999,34758.20703
120.1700001,34926.63281
130.1900001,34811.875
140.2,34753.64453
150.22,35110.42578
160.21,34885.30469
170.22,34920.36328
180.23,35046.92969
190.24,35144.63672
200.26,35130.62891
210.28,35158.64844
220.3,35139.96094
230.31999989999997,35016.09766
240.33999989999998,35029.73047
250.33999989999998,34974.02344
260.3599999,35059.3125
270.3799999,35074.49219
280.38999989999996,35133.61719
290.4000001,35213.30859
300.42000010000004,35210.05469
310.4400001,35202.33203
320.46,35082.48047
330.48,35087.0625
340.5,35037.46875
350.51,35122.59766
360.51,35080.92969
370.53,35095.03906
380.54,35146.13672
390.55,35059.3125
400.56999989999997,34840.49609
410.57999989999996,35001.91406
420.5899999,35213.26562
430.5999999,35138.41016
440.6199999,34967.75
450.63999989999996,34831.45312
460.6600001,34837.71484
470.67000010000004,34811.44141
480.7,34846.61328
490.71,34759.73047
500.73,35005.19141
510.74,34954.32422
520.77,35068.61328
530.77,35099.48438
540.79,35107.45703
550.79,34986.375
560.8,35114.94922
570.8,35023.45312
580.8099999,34998.71875
590.8199999,35065.1875
600.8499999,35172.67578
610.8599998999999,35008.09375
620.8799999,35000.26562
630.8899999,35029.64453
640.9000001,35172.57422
650.9200001,35146.07812
660.9200001,35113.33594
670.9400001,35267.99219
680.9400001,35210.05469
690.97,35174.03516
700.97,35074.80859
710.99,35340.26953
721.01,35197.41406
731.02,35139.84766
741.02,35327.67578
751.03,35121.10156
761.04,35267.96484
771.0699999,35414.47656
781.0699999,35319.80469
791.0899999,35344.99609
801.0999999,35352.88672
811.0999999,35063.47266
821.1099998999999,35186.62109
831.1199999,35294.67578
841.1299999,35029.46875
851.1299999,35310.37891
861.1500001,35235.08984
871.1600001,35266.45312
881.1600001,35244.41797
891.1900001,35155.36328
901.2,35111.91406
911.21,35282.18359
921.22,35263.32031
931.23,35457.16016
941.25,35269.60938
951.26,35277.32812
961.27,35087.13281
971.28,35304.08594
981.28,35253.91797
991.3,35277.43359
1001.32,35423.95312
1011.33,35360.76953
1021.34,35055.80078
1031.34,35322.98828
1041.34,35297.85547
1051.37,35395.49219
1061.38,35196.07812
1071.39,35241.31641
1081.41,35492.125
1091.42,35420.78516
1101.44,35458.82812
1111.45,35371.80859
1121.47,35496.89062
1131.49,35250.65625
1141.49,35447.64453
1151.51,35266.45312
1161.51,35461.97266
1171.53,35417.66406
1181.54,35241.31641
1191.55,35348.16016
1201.56,35420.75
1211.58,35382.86719
1221.59,35465.07031
1231.61,35419.21094
1241.61,35554.08203
1251.61,35538.29688
1261.63,35414.46094
1271.65,35581.35938
1281.66,35389.17969
1291.66,35488.94922
1301.67,35582.84766
1311.69,35356.05078
1321.71,35299.39062
1331.72,35403.37109
1341.75,35438.21875
1351.77,35479.42969
1361.78,35379.70312
1371.79,35484.15234
1381.78,35574.69141
1391.8,35520.77734
1401.82,35498.48047
1411.83,35403.40625
1421.82,35401.79297
1431.84,35568.42969
1441.84,35446.07812
1451.86,35379.70703
1461.87,35474.59766
1471.88,35401.80859
1481.9,35465.08984
1491.9,35423.97266
1501.92,35439.82422
1511.92,35446.13672
1521.92,35512.78516
1531.94,35409.74219
1541.94,35471.54297
1551.96,35446.07422
1561.96,35414.48828
1571.97,35495.23438
1581.98,35452.52344
1591.99,35512.75
1601.99,35412.88281
1612.0,35542.98438
1622.01,35560.51562
1632.02,35656.57031
1642.02,35753.25781
1652.03,35743.38281
1662.04,35589.28516
1672.06,35725.85156
1682.07,35717.23828
1692.09,35728.68359
1702.1,35717.42578
1712.12,35677.43359
1722.13,35570.07422
1732.14,35634.13672
1742.15,35741.45703
1752.15,35739.55078
