t,r
0.0,22152.41406
10.01999998,22208.56836
20.03999996,22271.04102
30.06999993,22221.03516
40.08999991,22277.04102
50.1099999,22220.78516
60.12999988,22334.14844
70.13999987,22176.99023
80.12999988,22289.03906
90.15999985,22170.7832
100.1699998,22276.77539
110.19000009999999,22133.61523
120.21,22202.58594
130.22,22158.61328
140.24,22189.41406
150.27,22127.87891
160.29,22134.06445
170.3199999,22228.03125
180.3399999,22233.00781
190.3499999,22183.20117
200.3699999,22196.11719
210.3899999,22214.30469
220.39999989999998,22134.06445
230.41999980000003,22195.14648
240.45,22145.75977
250.46,22214.80078
260.47,22201.85156
270.49,22152.18555
280.5,22195.87305
290.52,22214.30469
300.53,22164.11328
310.55,22214.30469
320.56999989999997,22201.60742
330.5899999,22276.77539
340.6099999,22200.875
350.6199999,22232.24805
360.63999989999996,22177.22852
370.6499999,22102.51953
380.6799998,22171.01953
390.7,22108.6875
400.73,22196.11719
410.75,22226.01367
420.77,22251.74414
430.79,22153.10547
440.8099999,22220.03516
450.8399999,22263.72461
460.8499999,22207.82812
470.8699999,22239.25
480.8999999,22208.81641
490.9099998,22251.74414
500.9099998,22289.58008
510.9400001,22202.3418
520.95,22270.51172
530.97,22189.65625
540.98,22233.26172
550.99,22270.77734
561.01,22282.50391
571.01,22269.98242
581.03,22295.31055
591.05,22232.24805
601.0799999,22245.23633
611.0899999,22283.04102
621.1099998999999,22195.63281
631.1199999,22264.25195
641.1299999,22352.20312
651.1499999,22213.80664
661.1499999,22257.73438
671.1599997999999,22257.99609
681.1599997999999,22283.04102
691.1799998,22277.04102
701.1799998,22277.30859
711.21,22232.75391
721.21,22263.98828
731.22,22264.25195
741.24,22256.69336
751.26,22201.11914
761.26,22283.30859
771.28,22214.05469
781.29,22195.63281
791.3099999,22244.97852
801.3099999,22276.77539
811.3199999,22295.58398
821.3299999,22263.98828
831.3499999,22269.98242
841.3799999,22314.14648
851.3999999,22226.77148
861.4199997999999,22232.5
871.4299998,22390.41016
881.4400001,22332.73242
891.45,22371.14062
901.46,22275.44336
911.46,22282.50391
921.47,22288.5
931.47,22289.58008
941.48,22333.01367
951.48,22396.13672
961.49,22226.51758
971.51,22345.89844
981.52,22320.71289
991.53,22453.57422
1001.53,22383.48438
1011.55,22301.86133
1021.56,22408.5
1031.55,22269.98242
1041.56,22264.7793
1051.58,22414.83789
1061.59,22358.51172
1071.61,22251.74414
1081.62,22453.25391
1091.65,22308.41602
1101.67,22357.64062
1111.67,22389.50977
1121.69,22320.99219
1131.7,22402.77539
1141.74,22351.62695
1151.75,22389.50977
1161.77,22384.08008
1171.8,22277.30859
1181.82,22332.44922
1191.82,22383.48438
1201.82,22409.11133
1211.84,22358.2207
1221.85,22277.04102
1231.86,22395.83594
1241.87,22308.14258
1251.87,22427.52344
1261.88,22294.49609
1271.89,22307.58789
1281.92,22319.03906
1291.91,22364.53125
1301.94,22264.25195
1311.93,22313.86914
1321.96,22232.24805
1331.96,22427.83203
1341.96,22414.53125
1351.97,22389.50977
1362.0,22351.62695
1372.01,22358.2207
1382.01,22382.88867
1392.01,22390.10938
1402.03,22484.7832
1412.05,22542.33984
1422.07,22439.59375
1432.08,22414.53125
1442.1,22427.52344
1452.12,22338.74219
1462.13,22402.16602
1472.14,22523.45898
1482.13,22414.22266
1492.13,22421.17773
1502.16,22433.86914
1512.17,22339.31055
1522.17,22395.83594
1532.17,22396.13672
1542.18,22389.21094
1552.22,22466.31055
1562.21,22516.38672
1572.23,22471.70898
1582.23,22459.61719
1592.25,22414.22266
1602.26,22517.06055
1612.29,22414.22266
1622.3,22504.27148
1632.29,22490.83398
1642.31,22478.08203
1652.32,22509.99219
1662.32,22369.96484
1672.33,22439.90625
1682.33,22388.91211
1692.34,22421.48633
1702.36,22465.98633
1712.37,22516.04883
1722.37,22516.38672
1732.39,22427.21094
1742.4,22504.27148
1752.42,22522.78125
1762.43,22569.07422
1772.43,22503.93555
1782.45,22600.55273
1792.47,22491.49414
1802.48,22517.39844
1812.48,22523.45898
1822.49,22465.02148
1832.5,22454.21289
1842.52,22295.58398
1852.55,22434.81055
1862.56,22472.0332
1872.58,22644.63867
1882.57,22440.53711
1892.6,22351.91406
1902.61,22588.38672
1912.62,22426.90234
1922.62,22498.21484
1932.63,22560.88867
1942.65,22555.16992
1952.66,22333.01367
1962.67,22472.0332
1972.68,22458.97852
1982.69,22390.71094
1992.7,22515.71094
2002.73,22376.27734
2012.75,22523.12109
2022.76,22478.4082
2032.77,22568.36719
2042.78,22484.7832
2052.78,22478.08203
2062.8,22528.8418
2072.8,22473.00781
2082.81,22452.93555
2092.8,22484.7832
2102.81,22497.54883
2112.82,22345.89844
2122.84,22471.70898
2132.83,22459.29883
2142.87,22523.45898
2152.86,22566.95703
2162.87,22580.87305
2172.89,22548.75195
2182.89,22509.99219
2192.91,22465.34375
2202.92,22534.90039
2212.95,22466.63281
2222.97,22503.60156
2233.0,22447.21289
2243.01,22479.06055
2253.02,22345.89844
2263.04,22478.08203
2273.05,22421.17773
2283.07,22414.53125
2293.07,22376.86719
2303.1,22427.21094
2313.1,22390.71094
2323.12,22604.81641
2333.13,22452.61914
2343.13,22453.25391
2353.16,22408.19336
2363.15,22433.86914
2373.16,22307.58789
2383.17,22440.22266
2393.19,22390.10938
2403.21,22440.22266
2413.22,22479.71289
2423.24,22313.86914
2433.25,22427.52344
2443.26,22408.80664
2453.29,22458.97852
2463.3,22433.86914
2473.32,22490.83398
2483.33,22510.32812
2493.36,22453.25391
2503.37,22453.57422
2513.38,22510.66211
2523.4,22478.73242
2533.41,22433.86914
2543.41,22478.73242
2553.43,22504.60547
2563.44,22446.57812
2573.46,22574.08789
2583.46,22611.98633
2593.48,22484.45703
2603.49,22568.36719
2613.5,22549.79492
2623.51,22522.10547
2633.52,22504.27148
2643.55,22581.58594
2653.56,22390.10938
2663.56,22395.83594
2673.57,22459.29883
2683.58,22465.98633
2693.59,22478.08203
2703.6,22606.63672
2713.62,22434.49805
2723.62,22427.21094
2733.64,22413.91797
2743.66,22491.49414
2753.67,22358.2207
2763.69,22491.49414
2773.7,22459.93945
2783.7,22479.06055
2793.73,22427.83203
2803.74,22511.0
2813.76,22434.49805
2823.79,22408.19336
2833.79,22658.33594
2843.8,22441.48242
2853.81,22479.38672
2863.82,22529.86523
2873.83,22567.66016
2883.82,22517.73633
2893.84,22638.92188
2903.84,22600.18945
2913.85,22522.44531
2923.88,22491.82617
2933.9,22409.72266
2943.89,22600.91602
2953.91,22472.35938
2963.93,22459.61719
2973.93,22523.45898
2983.94,22459.93945
2993.95,22427.21094
3003.96,22408.5
3013.98,22484.7832
3024.0,22541.64844
3034.01,22440.85156
3044.01,22510.66211
3054.04,22504.27148
3064.04,22516.04883
3074.05,22403.38281
3084.09,22484.45703
3094.09,22479.06055
3104.09,22574.44141
3114.1,22452.61914
3124.11,22447.21289
3134.11,22402.16602
3144.12,22388.91211
3154.15,22458.97852
3164.15,22389.80859
3174.15,22369.96484
3184.18,22459.61719
3194.17,22427.21094
3204.18,22383.48438
3214.2,22528.50195
3224.2,22383.1875
3234.23,22497.54883
3244.24,22459.93945
3254.26,22523.12109
3264.27,22562.29297
3274.28,22517.06055
3284.28,22491.16406
3294.29,22427.83203
3304.31,22446.89258
3314.32,22433.55859
3324.32,22511.0
3334.35,22530.20898
3344.35,22491.82617
3354.35,22504.27148
3364.35,22478.4082
3374.38,22486.09766
3384.39,22509.65625
3394.41,22607.73047
3404.42,22371.14062
3414.42,22459.61719
3424.43,22396.43945
3434.43,22497.88086
3444.45,22465.34375
3454.48,22633.20312
3464.47,22452.61914
3474.48,22510.66211
3484.49,22447.21289
3494.51,22478.08203
3504.5,22390.10938
3514.52,22517.06055
3524.53,22453.25391
3534.54,22473.00781
3544.55,22523.12109
3554.56,22415.14453
3564.57,22472.68359
3574.59,22345.89844
3584.61,22390.41016
3594.64,22440.53711
3604.66,22428.14453
3614.68,22421.17773
3624.69,22465.98633
3634.71,22389.50977
3644.71,22428.76758
3654.72,22406.97656
3664.74,22516.72266
3674.75,22484.7832
3684.78,22277.30859
3694.8,22465.66406
3704.81,22408.19336
3714.81,22472.68359
3724.83,22301.03906
3734.85,22376.57031
3744.87,22555.16992
3754.88,22465.98633
3764.9,22415.45312
3774.91,22382.29492
3784.91,22465.66406
3794.92,22427.83203
3804.92,22440.22266
3814.94,22422.10547
3824.96,22497.2168
3834.97,22346.4707
3845.0,22453.57422
3855.02,22377.46094
3865.04,22371.43555
3875.05,22307.31445
3885.05,22459.29883
