t,r
0.0,33562.875
10.00999999,33613.59375
20.01999998,33575.35547
30.01999998,33551.95312
40.04999995,33552.39062
50.04999995,33587.28906
60.04999995,33554.82422
70.04999995,33588.29297
80.05999994,33540.48047
90.07999992,33569.17969
100.09000019999999,33571.48047
110.10000009999999,33572.05469
120.10000009999999,33549.96094
130.1200001,33606.99219
140.1500001,33524.16406
150.17000009999998,33519.53125
160.1800001,33621.80859
170.2,33561.86719
180.21,33523.37891
190.22,33553.82812
200.21,33555.12891
210.24,33537.05469
220.25,33578.23438
230.26,33515.12891
240.28,33509.40625
250.3,33523.72266
260.3,33576.21875
270.3099999,33553.69141
280.32999989999996,33573.78516
290.34000019999996,33586.42578
300.36000010000004,33632.72656
310.3700001,33562.43359
320.3800001,33592.02344
330.3900001,33562.0
340.4100001,33575.07422
350.43000010000003,33588.72656
360.4400001,33548.08984
370.46,33538.60547
380.46,33558.56641
390.48,33592.87109
400.48,33644.45703
410.49,33528.90234
420.48,33604.96094
430.49,33547.52344
440.49,33564.30469
450.51,33534.63281
460.53,33540.03906
470.53,33589.57422
480.55,33554.82422
490.56999989999997,33579.67188
500.57999989999996,33523.27734
510.6000001,33557.43359
520.6000001,33568.03906
530.6000001,33559.12891
540.6100001,33518.98047
550.6100001,33556.25781
560.6200001,33571.91016
570.6300001,33510.39062
580.6500001,33590.58203
590.6400001000001,33559.56641
600.6500001,33581.96875
610.6600001,33609.27734
620.6500001,33590.16016
630.6700001,33628.59375
640.7,33594.89844
650.71,33597.35156
660.73,33578.08594
670.73,33625.10938
680.74,33590.16016
690.75,33539.48438
700.74,33615.62891
710.75,33598.19922
720.76,33579.67188
730.77,33537.61328
740.78,33618.33594
750.79,33612.16016
760.8099999,33599.63281
770.8099999,33615.03516
780.8299999,33619.94531
790.8199999,33610.29688
800.8400002000001,33577.65625
810.8500001,33572.91797
820.8600001,33627.57422
830.8700001,33583.39844
840.9000001,33585.85156
850.9100001,33548.08594
860.9100001,33589.73047
870.9200001,33561.87109
880.9400001,33608.85938
890.9400001,33624.69141
900.96,33572.19531
910.97,33587.71484
920.98,33577.65625
931.0,33610.89062
941.01,33587.70703
951.01,33633.33594
961.03,33634.55078
971.04,33591.17188
981.0599999,33662.18359
991.0699999,33565.87891
1001.07,33624.69141
1011.08,33597.18359
1021.1,33642.8125
1031.11,33623.4375
1041.12,33611.3125
1051.13,33606.14453
1061.14,33610.29688
1071.15,33639.92969
1081.16,33599.96094
1091.17,33643.22656
1101.17,33661.96875
1111.19,33580.67578
1121.2,33613.17969
1131.22,33632.91797
1141.22,33606.99609
1151.22,33653.72656
1161.22,33652.29297
1171.23,33651.04688
1181.24,33621.39062
1191.27,33656.41016
1201.28,33591.75781
1211.29,33636.21875
1221.31,33559.25781
1231.31,33636.82812
1241.32,33585.14062
1251.34,33608.85938
1261.35,33654.96484
1271.36,33632.72656
1281.38,33635.80469
1291.41,33620.96875
1301.41,33641.98438
1311.43,33606.99219
1321.45,33598.78906
1331.46,33600.80859
1341.48,33596.75781
1351.48,33618.51172
1361.49,33594.05078
1371.51,33619.17188
1381.54,33617.3125
1391.54,33599.63672
1401.57,33571.04688
1411.59,33648.99219
1421.61,33659.70312
1431.64,33624.09375
1441.65,33652.49219
1451.66,33649.19531
1461.67,33629.61328
1471.69,33686.90625
1481.71,33657.44141
1491.72,33682.80859
1501.73,33648.16406
1511.76,33643.64062
1521.75,33641.98438
1531.77,33602.92969
1541.78,33644.87109
1551.79,33606.14844
1561.81,33612.57812
1571.82,33581.38281
1581.82,33590.58203
1591.83,33589.73047
1601.84,33594.04688
1611.84,33638.90625
1621.85,33639.93359
1631.87,33650.22266
1641.88,33601.66406
1651.88,33626.97266
1661.9,33642.39844
1671.92,33651.04688
1681.93,33597.34766
1691.95,33669.17969
1701.97,33648.16016
1711.99,33638.07422
1721.99,33656.41016
1732.0,33636.21875
1742.02,33617.3125
1752.03,33674.54688
1762.05,33686.50781
1772.07,33640.95703
1782.08,33599.21094
1792.09,33687.54688
1802.09,33634.35938
1812.12,33613.0
1822.12,33657.02734
1832.13,33612.75
1842.16,33684.25781
1852.17,33623.4375
1862.18,33633.53516
1872.19,33657.85547
1882.21,33634.35938
1892.22,33648.57812
1902.24,33628.17578
1912.26,33637.24609
1922.26,33658.07031
1932.28,33663.625
1942.29,33679.91797
1952.29,33668.77344
1962.3,33618.92969
1972.31,33695.81641
1982.32,33611.73438
1992.34,33645.28125
2002.35,33623.85156
2012.37,33687.54688
2022.38,33686.34375
2032.39,33646.92578
2042.4,33685.69531
2052.42,33665.07422
2062.44,33682.00391
2072.44,33718.31641
2082.45,33665.89062
2092.45,33659.70312
2102.46,33680.72656
2112.47,33686.74219
2122.48,33710.53906
2132.5,33623.43359
2142.51,33701.21094
2152.52,33638.68359
2162.54,33598.52344
