t,r
0.0,11555.91895
10.00999999,11642.1748
20.00999999,11548.0
30.01999998,11586.22266
40.03999996,11517.86914
50.05999994,11646.73242
60.07000017,11635.50781
70.08000016,11573.45117
80.10000014,11563.563479999999
90.11000013,11634.69336
100.1100001,11610.10254
110.13000009999999,11578.8418
120.1500001,11632.6748
130.1600001,11694.49609
140.17000009999998,11692.44238
150.1800001,11728.21484
160.1900001,11670.57129
170.1900001,11627.8252
180.2,11678.43359
190.2,11688.33887
200.21,11727.88281
210.23,11716.33203
220.24,11712.84961
230.24,11793.87305
240.26,11858.4668
250.27,11799.875979999999
260.28,11792.10938
270.29,11799.875979999999
280.3,11831.39648
290.3,11827.84863
300.3099999,11900.03613
310.3200002,11817.92969
320.34000019999996,11822.16406
330.34000019999996,11773.08887
340.3500001,11851.33398
350.3800001,11867.01855
360.3900001,11832.80859
370.4000001,11809.76855
380.4100001,11808.01855
390.43000010000003,11837.46094
400.43000010000003,11847.77148
410.45,11801.99805
420.46,11892.08105
430.46,11842.42969
440.48,11854.155270000001
450.49,11850.96191
460.5,11924.45898
470.51,11865.98535
480.51,11932.47559
490.51,11818.98047
500.52,11932.07812
510.53,11846.73047
520.54,11875.68555
530.55,11941.91992
540.55,11897.46484
550.5599999,11904.02148
560.5700002,11905.82031
570.5800002000001,11932.47559
580.5800002000001,11906.99121
590.6000001,11923.05176
600.6000001,11902.46582
610.6200001,11940.71484
620.6500001,11970.54785
630.6800001,11940.71582
640.6800001,11879.91602
650.6800001,11917.64258
660.7,11893.23633
670.7,11955.6084
680.72,12002.39062
690.73,11940.71484
700.73,11921.24805
710.75,11987.35449
720.77,11942.92676
730.78,11977.82617
740.8,11934.68262
750.8099999,11913.41406
760.8200002,11910.2041
770.8400002000001,11879.91797
780.8600001,11908.6377
790.8800001,11944.73633
800.9000001,11905.82031
810.9100001,11935.69141
820.9200001,11985.530270000001
830.9300001,11956.42188
840.9300001,11932.07715
850.9400001,11943.73145
860.95,11887.85156
870.96,12018.44727
880.97,11991.42285
890.99,11943.73047
901.0,11942.72656
911.0,11996.62695
921.01,11987.77246
931.02,11955.60938
941.02,12059.44629
951.03,12026.76172
961.04,12050.22949
971.0599999,12016.61426
981.0700002,11993.39746
991.0800002000001,11998.73145
1001.09,12017.04102
1011.1,12001.9668
1021.12,11953.19824
1031.13,12040.05762
1041.14,11957.2373
1051.15,11945.94727
1061.17,11945.74805
1071.19,12012.09863
1081.2,11998.45312
1091.21,12017.16406
1101.23,12017.469729999999
1111.24,12016.73926
1121.25,11993.39746
1131.26,12019.30371
1141.29,12038.21875
1151.31,12109.4375
1161.32,12007.03125
1171.34,12092.24805
1181.35,12127.157229999999
1191.35,12066.31445
1201.37,12070.97168
1211.38,12041.46387
1221.39,12043.30273
1231.41,12062.61816
1241.42,12043.39746
1251.44,12075.11621
1261.46,12149.59863
1271.48,12098.27637
1281.5,12083.02734
1291.51,12080.72559
1301.53,12100.13477
1311.54,12168.83984
1321.57,12152.89355
1331.57,12109.46289
1341.57,12140.2373
1351.59,12128.55762
1361.62,12133.69238
1371.62,12186.21191
1381.64,12194.30664
1391.65,12161.3252
1401.67,12177.2832
1411.68,12162.72656
1421.7,12182.92969
1431.71,12187.66895
1441.73,12208.8584
1451.75,12237.28613
1461.76,12306.92285
1471.77,12179.69922
1481.77,12285.48242
1491.77,12226.39941
1501.79,12153.3457
1511.8,12230.40625
1521.8,12217.41992
1531.83,12188.58203
1541.83,12197.94336
1551.84,12152.87305
1561.85,12158.01855
1571.85,12152.39844
1581.87,12148.19727
1591.89,12166.00293
1601.91,12169.7207
1611.93,12116.8916
1621.94,12179.64844
1631.96,12179.16309
1641.96,12191.86523
1651.97,12209.8457
1661.97,12195.2168
1671.99,12161.29492
1682.01,12155.2207
1692.02,12212.14746
1702.04,12211.24512
1712.05,12179.21582
1722.07,12214.62207
1732.08,12197.5957
1742.11,12240.7002
1752.12,12237.79102
1762.12,12261.00781
1772.14,12200.39355
1782.16,12226.39941
1792.18,12267.75586
1802.2,12241.08691
1812.21,12244.50488
1822.22,12305.5293
1832.24,12287.39746
1842.25,12255.936520000001
1852.26,12262.686520000001
1862.27,12340.19336
1872.28,12260.12305
1882.29,12190.9541
1892.3,12283.04883
1902.29,12238.29492
1912.3,12238.68262
1922.32,12293.14746
1932.32,12307.4502
1942.33,12262.40234
1952.35,12251.61523
1962.37,12225.90039
1972.39,12195.70605
1982.4,12298.90332
1992.4,12250.09082
2002.41,12179.21582
2012.42,12190.9541
2022.44,12236.89648
2032.45,12249.20215
2042.46,12194.24023
2052.47,12241.08594
2062.48,12230.2998
2072.5,12187.66895
2082.52,12258.5918
2092.53,12260.125
2102.55,12267.75586
2112.56,12275.39648
2122.57,12314.47559
2132.58,12194.72852
2142.59,12270.17969
2152.6,12222.30469
2162.6,12243.10938
2172.62,12242.48438
2182.62,12193.32812
2192.63,12245.39648
2202.65,12261.14844
2212.65,12235.89062
2222.66,12190.10645
2232.68,12277.82715
2242.68,12277.4668
2252.69,12231.08984
2262.7,12242.60156
2272.71,12270.69629
2282.73,12244.38477
2292.76,12262.54297
2302.78,12197.03613
2312.79,12224.00391
2322.8,12226.89844
2332.81,12276.79102
2342.83,12244.50488
2352.84,12233.59863
2362.85,12202.77441
2372.87,12198.01465
2382.88,12218.41504
2392.89,12178.19824
2402.9,12197.10547
2412.91,12111.76074
2422.91,12146.32422
2432.92,12165.52344
2442.94,12233.09668
2452.95,12250.72852
2462.96,12193.75195
2472.98,12266.36133
2482.99,12260.63574
2493.0,12266.36133
2503.01,12278.344729999999
2513.03,12243.61523
2523.03,12320.25781
2533.04,12280.25879
2543.05,12207.95508
2553.06,12320.05273
2563.08,12239.186520000001
2573.09,12313.94434
2583.1,12307.97852
2593.11,12220.71191
2603.12,12268.63672
2613.12,12268.78613
2623.12,12277.82715
2633.13,12302.74316
2643.14,12293.67188
2653.16,12244.12207
2663.17,12272.969729999999
2673.17,12261.14844
2683.18,12216.02246
2693.21,12256.44824
2703.22,12239.69141
2713.24,12265.47949
2723.24,12260.26367
2733.25,12235.38672
2743.27,12197.03613
2753.28,12181.04688
2763.29,12227.7959
2773.3,12225.90039
2783.3,12226.90039
2793.32,12200.88379
2803.33,12208.44922
2813.34,12224.00391
2823.35,12248.31445
2833.35,12258.72949
2843.37,12292.27539
2853.38,12236.39453
2863.39,12270.33105
2873.4,12237.28711
2883.4,12156.17188
2893.41,12215.52539
2903.43,12269.66406
2913.45,12264.82129
2923.47,12251.10742
2933.49,12273.124020000001
2943.5,12312.88379
2953.5,12247.2998
2963.51,12262.54395
2973.52,12274.87988
2983.53,12192.84082
2993.53,12246.41016
3003.54,12217.41992
3013.56,12232.48633
3023.57,12226.90039
3033.58,12242.09766
3043.59,12251.10645
3053.6,12238.29492
3063.61,12262.40137
3073.62,12236.00293
3083.64,12247.68066
3093.65,12168.83984
3103.68,12300.29688
3113.69,12192.8418
3123.7,12240.58398
3133.72,12223.10547
3143.73,12223.60352
3153.75,12185.78418
3163.75,12227.40039
3173.77,12226.90039
3183.79,12260.26367
3193.81,12242.09766
3203.82,12246.40918
3213.84,12231.19531
3223.84,12216.51855
3233.86,12308.50781
3243.87,12254.40625
3253.88,12244.89062
3263.89,12233.99121
3273.9,12218.32031
3283.92,12234.99707
3293.93,12271.57617
3303.94,12204.66406
3313.95,12244.12207
3323.97,12315.6709
3334.0,12201.79199
3344.01,12284.08887
3354.02,12258.21875
3364.03,12244.38379
3374.04,12256.44922
3384.07,12309.89941
3394.07,12308.50684
3404.09,12284.25293
3414.09,12342.125
3424.1,12335.47754
3434.11,12319.51953
3444.12,12343.20605
3454.12,12303.7959
3464.14,12351.79199
3474.17,12235.5
3484.18,12320.91211
3494.19,12374.21484
3504.2,12305.530270000001
3514.21,12291.75391
3524.23,12350.39941
3534.25,12300.29688
3544.26,12295.41211
3554.26,12308.50684
3564.27,12340.41992
3574.28,12233.99121
3584.29,12317.59375
3594.3,12234.49414
3604.32,12326.155270000001
3614.33,12290.186520000001
3624.35,12258.72949
3634.36,12355.06055
3644.39,12295.06543
3654.4,12256.82129
3664.4,12302.74316
3674.42,12246.91602
3684.43,12310.43066
3694.44,12312.35352
3704.44,12274.36426
3714.45,12294.01855
3724.46,12283.04883
3734.48,12296.45898
3744.48,12334.08496
3754.49,12319.51953
3764.49,12334.93945
3774.51,12305.19043
3784.52,12317.26367
3794.54,12275.91504
3804.56,12320.05273
3814.56,12276.79102
3824.58,12300.29688
3834.6,12312.35254
3844.62,12272.969729999999
3854.62,12347.07422
3864.64,12256.95801
3874.65,12297.50879
3884.67,12381.155270000001
3894.67,12373.375
3904.7,12334.40332
3914.72,12293.14746
3924.72,12275.91309
3934.73,12318.12695
3944.75,12391.72363
3954.76,12306.24805
3964.78,12353.72559
3974.79,12260.125
3984.81,12316.73242
3994.83,12275.91309
4004.86,12267.75586
4014.87,12281.29785
4024.88,12324.438479999999
4034.9,12325.29688
4044.92,12292.624020000001
4054.94,12345.68164
4064.96,12331.29883
4074.97,12368.3877
4084.97,12330.7627
4095.0,12336.0166
4105.01,12316.40234
4115.02,12320.25781
4125.05,12311.29395
4135.05,12374.7666
4145.07,12352.03125
4155.09,12363.66406
4165.09,12312.88379
4175.11,12249.58301
4185.13,12376.71094
4195.16,12397.57227
4205.16,12270.33105
4215.17,12363.95898
4225.2,12258.72949
4235.21,12352.33594
4245.23,12337.72266
4255.25,12300.2959
4265.26,12236.00391
4275.26,12290.3584
4285.27,12246.91699
4295.29,12274.36426
4305.31,12353.42383
4315.32,12354.27051
4325.33,12237.28613
4335.34,12277.82715
4345.35,12229.19336
4355.36,12306.58496
4365.39,12340.41992
4375.4,12300.63867
4385.42,12297.16504
4395.44,12279.74023
4405.46,12272.60645
4415.47,12341.27344
4425.47,12284.08887
4435.47,12291.23145
4445.49,12312.68555
4455.48,12283.56738
4465.5,12284.44238
4475.5,12347.07324
4485.51,12324.438479999999
4495.52,12304.66504
4505.53,12325.50879
4515.54,12318.12695
4525.55,12325.83105
4535.57,12324.76367
4545.57,12288.79199
4555.58,12298.90332
4565.58,12241.5918
4575.59,12338.2627
4585.61,12286.87695
4595.62,12260.63672
4605.63,12273.84863
4615.64,12316.20117
4625.64,12304.13672
4635.65,12304.32324
4645.65,12292.27539
4655.66,12297.85449
4665.67,12323.37012
4675.68,12320.05176
4685.7,12321.97754
4695.7,12368.3877
4705.7,12362.01953
4715.73,12402.03613
4725.73,12386.16016
4735.74,12306.58496
4745.76,12380.59961
4755.76,12352.87988
4765.79,12347.07324
4775.79,12328.29492
4785.81,12400.91309
4795.82,12334.08496
4805.84,12326.68945
4815.83,12371.98535
4825.85,12354.51465
4835.88,12299.42871
4845.9,12294.19531
4855.91,12309.89941
4865.91,12345.44824
4875.93,12309.37207
4885.95,12273.48535
4895.95,12349.55078
4905.97,12327.76074
4915.97,12244.0
4925.98,12296.11426
4935.99,12301.34961
4946.02,12282.17285
4956.03,12320.25781
4966.03,12363.41016
4976.05,12302.74316
4986.07,12287.39844
4996.08,12396.18359
5006.09,12360.62891
5016.1,12331.29883
5026.12,12366.19043
5036.13,12391.72461
5046.13,12433.34961
5056.15,12350.94336
5066.16,12409.54395
5076.16,12397.280270000001
5086.17,12395.063479999999
5096.19,12424.36621
5106.2,12388.66211
5116.21,12390.05078
5126.23,12379.76367
5136.24,12376.99512
5146.25,12419.63086
5156.25,12413.50391
5166.27,12372.82422
5176.28,12403.42578
5186.28,12411.23926
5196.3,12354.27051
5206.29,12306.58496
5216.3,12330.7627
5226.31,12354.27051
5236.33,12359.53418
5246.35,12307.11328
5256.38,12386.43945
5266.37,12338.48828
5276.39,12336.0166
5286.4,12381.99121
5296.41,12281.13477
5306.42,12310.95801
5316.43,12318.4541
5326.43,12348.46582
5336.45,12327.75977
5346.46,12298.37695
5356.47,12432.2041
5366.49,12337.41016
5376.51,12332.155270000001
5386.51,12351.48828
5396.52,12296.11426
5406.55,12350.94336
5416.56,12380.0459
5426.57,12331.61816
5436.58,12330.86328
5446.59,12353.18164
5456.59,12395.8916
5466.61,12323.905270000001
5476.62,12345.98926
5486.63,12391.16699
5496.64,12395.8916
5506.64,12411.75391
5516.67,12414.58203
5526.67,12355.66211
5536.69,12374.21387
5546.7,12434.97852
5556.7,12381.99219
5566.71,12378.38477
5576.72,12402.03613
5586.72,12366.74023
5596.74,12332.47363
5606.76,12327.75977
5616.77,12368.67773
5626.78,12376.1582
5636.78,12360.37793
5646.79,12342.125
5656.8,12387.8291
5666.81,12400.08594
5676.82,12363.11621
5686.84,12375.88965
5696.85,12414.83789
5706.87,12382.82617
5716.88,12400.08594
5726.9,12443.40137
5736.91,12395.8916
5746.93,12385.32617
5756.93,12373.66211
5766.94,12423.79688
5776.95,12414.32715
5786.97,12370.88086
5796.97,12389.77637
5806.98,12386.71582
5816.99,12436.46289
5827.02,12431.62988
5837.03,12412.9375
5847.04,12386.71582
5857.05,12414.0166
5867.05,12389.50195
5877.06,12381.155270000001
5887.08,12361.72363
5897.09,12454.969729999999
5907.11,12378.10059
5917.11,12354.81641
5927.13,12320.91211
5937.14,12348.15918
5947.14,12391.72461
5957.15,12369.77832
5967.15,12392.55566
5977.16,12380.88184
5987.16,12406.76758
5997.17,12383.38086
6007.18,12414.89551
6017.2,12362.01953
6027.21,12357.54688
6037.21,12355.3623
6047.22,12359.78516
6057.24,12414.0166
6067.24,12396.18359
6077.25,12357.8457
6087.28,12363.95898
6097.31,12476.2832
6107.31,12406.2041
6117.34,12405.37891
6127.34,12374.21484
6137.35,12453.00195
6147.37,12417.92676
6157.39,12337.94824
6167.4,12445.71191
6177.41,12438.08887
6187.43,12440.04883
6197.43,12421.01953
6207.46,12415.7168
6217.48,12409.85059
6227.49,12380.88184
6237.5,12376.71094
6247.52,12380.0459
6257.54,12385.04883
6267.54,12371.16992
6277.56,12369.77832
6287.58,12417.10547
6297.59,12391.16602
6307.61,12411.80469
6317.64,12325.83105
6327.64,12385.88281
6337.65,12392.28418
6347.66,12405.94238
6357.66,12366.73926
6367.67,12369.77832
6377.69,12333.00977
6387.7,12274.36426
6397.7,12322.719729999999
6407.71,12311.82324
6417.72,12310.094729999999
6427.72,12413.50391
6437.73,12376.71094
6447.74,12373.11035
6457.74,12371.7207
6467.76,12317.79688
6477.76,12378.10059
6487.76,12385.32617
6497.79,12368.09668
6507.8,12356.75195
6517.81,12302.74316
6527.82,12390.33496
6537.83,12374.76758
6547.84,12354.51465
6557.84,12396.18359
6567.86,12386.16016
6577.87,12354.27051
6587.88,12311.29395
6597.91,12377.54785
6607.91,12402.86328
6617.92,12320.58496
6627.95,12337.94824
6637.95,12393.40137
6647.95,12398.40234
6657.96,12381.99121
6667.97,12415.46191
6677.97,12466.20898
6687.99,12391.72461
6697.99,12420.4502
6708.02,12398.96094
6718.04,12350.39941
6728.04,12404.25293
6738.05,12411.23828
6748.06,12418.24121
6758.06,12378.92676
6768.08,12445.59668
6778.09,12414.58203
6788.09,12402.30273
6798.11,12462.26562
6808.12,12411.23828
6818.12,12400.91309
6828.13,12324.22754
6838.14,12458.32617
6848.15,12434.16406
6858.16,12383.936520000001
6868.18,12382.5459
6878.19,12414.0166
6888.2,12387.83008
6898.21,12422.657229999999
6908.24,12455.77539
6918.25,12440.3916
