t,r
0.0,9943.227539
10.0,9949.919922
20.00999999,9960.660156
30.01999998,9966.358398
40.02999997,9979.266602
50.06000018,9973.272461
60.07000017,9955.791016
70.08000016,9962.746094
80.09000015,9969.648438
90.10000014,9985.449219
100.10000009999999,9987.5
110.1200001,9977.871094
120.1400001,9974.40918
130.1600001,9974.859375
140.17000009999998,9988.294922
150.1800001,9973.758789
160.1900001,9978.030273
170.1900001,9993.040039
180.1900001,9968.878906
190.1800001,9988.925781
200.2,9990.349609
210.23,9984.969727
220.23,9966.194336
230.24,9974.53418
240.25,9981.336914
250.27,9957.21582
260.26,9991.773438
270.28,9970.74707
280.29,9958.474609
290.3000002,9977.708984
300.3000002,9971.236328
310.3200002,9979.750977
320.3300002,9965.099609
330.34000019999996,9978.326172
340.3500001,9978.648438
350.3700001,9967.454102
360.3900001,9977.546875
370.3900001,9981.658203
380.4100001,9982.279297
390.4100001,9971.84668
400.43000010000003,9962.25
410.45,9954.700195
420.45,9967.946289
430.45,9960.990234
440.48,9983.865234
450.48,9972.335938
460.48,9981.015625
470.49,9956.125977
480.49,9961.15625
490.51,9973.597656
500.52,9963.179688
510.53,9968.223633
520.53,9968.713867
530.54,9986.713867
540.5500002,9973.271484
550.5500002,9963.344727
560.5500002,9946.995117
570.5700002,9970.910156
580.5800002000001,9991.931641
590.5900002000001,9972.173828
600.5800002000001,9972.823242
610.6200001,9979.750977
620.6400001000001,9954.700195
630.6700001,9963.179688
640.6700001,9987.660156
650.6800001,10002.55566
660.6900001,9988.926758
670.6900001,9968.060547
680.7,9978.164062
690.72,9990.033203
700.73,9979.913086
710.75,9994.78418
720.77,9974.860352
730.77,9984.969727
740.79,9989.083984
750.8100002,10011.60645
760.8200002,9959.996094
770.8400002000001,9973.921875
780.8600001,9994.785156
790.8700001,10004.44824
800.8900001000001,9981.014648
810.9000001,9983.704102
820.9000001,9987.5
830.9100001,9992.56543
840.9200001,10001.59766
850.9400001,10006.05762
860.95,9994.461914
870.95,9981.175781
880.96,9981.014648
890.97,9979.751953
900.99,9951.34668
911.0,9986.234375
921.0,9984.969727
931.01,9986.076172
941.02,9983.865234
951.03,10006.52246
961.04,10006.67676
971.0500002,9996.053711
981.0700002,9999.704102
991.0700002,9989.714844
1001.09,9986.235352
1011.1,9985.916016
1021.11,10000.6416
1031.13,10007.4834
1041.14,9982.441406
1051.15,9983.384766
1061.16,9983.864258
1071.18,10007.6377
1081.19,9998.905273
1091.21,9997.636719
1101.22,10011.45312
1111.23,9992.408203
1121.24,9995.896484
1131.25,10002.71094
1141.28,9987.342773
1151.29,9997.636719
1161.31,9991.932617
1171.32,9964.275391
1181.34,9995.099609
1191.35,9989.083984
1201.36,9995.571289
1211.37,10004.44727
1221.39,9987.022461
1231.4,9996.210938
1241.42,9999.060547
1251.44,9996.524414
1261.44,10009.06445
1271.47,9997.793945
1281.5,10002.40137
1291.5,9987.341797
1301.52,10003.98242
1311.53,9988.766602
1321.56,9987.5
1331.56,9973.758789
1341.56,9991.773438
1351.58,10007.79297
1361.6,9981.65918
1371.62,10011.91309
1381.64,9977.385742
1391.64,9958.308594
1401.66,9989.874023
1411.67,9996.838867
1421.7,9990.349609
1431.71,9999.060547
1441.72,9991.298828
1451.75,9988.608398
1461.75,9993.990234
1471.76,9978.487305
1481.77,9980.854492
1491.77,9977.870117
1501.78,9974.860352
1511.79,9976.738281
1521.8,9991.141602
1531.81,9986.393555
1541.83,9981.175781
1551.84,9984.650391
1561.84,9997.949219
1571.85,9979.912109
1581.86,9982.279297
1591.87,9975.635742
1601.91,10013.33789
1611.93,9984.025391
1621.94,9974.046875
1631.94,9979.912109
1641.96,9984.025391
1651.95,9983.705078
1661.97,10012.87891
1671.98,9981.498047
1681.99,9987.181641
1692.01,9990.982422
1702.03,9983.544922
1712.04,9987.819336
1722.06,9986.075195
1732.08,9982.600586
1742.09,9979.589844
1752.11,9978.80957
1762.11,9982.118164
1772.13,9980.072266
1782.16,9987.34082
1792.18,9970.791016
1802.19,9969.485352
1812.21,9966.962891
1822.22,9983.544922
1832.24,9992.56543
1842.24,9965.099609
1852.26,9969.813477
1862.26,9978.030273
1872.27,9976.900391
1882.28,9960.495117
1892.28,9978.488281
1902.29,9990.350586
1912.3,9981.014648
1922.31,9981.175781
1932.3,10002.86719
1942.31,9983.704102
1952.35,9985.450195
1962.36,9969.485352
1972.39,9963.510742
1982.39,9975.34668
1992.39,9977.223633
2002.39,9995.101562
2012.4,9969.485352
