t,r
0.0,24631.37109
10.00999999,24621.64258
20.01999998,24616.02539
30.03999996,24386.20898
40.08000016,24643.63086
50.09000015,24588.97656
60.10000014,24677.52734
70.10000014,24559.44336
80.11000013,24470.20703
90.11000013,24343.02148
100.1500001,24569.09375
110.18000009999999,24557.43555
120.18000009999999,24456.0332
130.2,24500.55078
140.1900001,24514.75586
150.22,24547.20312
160.23,24326.18164
170.24,24490.99219
180.27,24544.19922
190.28,24484.38867
200.28,24613.97656
210.3000002,24501.53125
220.3100002,24592.02734
230.33000019999997,24587.95898
240.3400002,24651.3125
250.3600001,24647.77734
260.3900001,24726.26758
270.3900001,24641.125
280.4100001,24596.62305
290.4400001,24821.53711
300.4400001,24808.15234
310.46,24734.80078
320.47,24779.21094
330.49,24846.03711
340.5,24626.22266
350.52,24701.72852
360.54,24608.36133
370.5500002,24750.54492
380.5700002,24708.39258
390.5700002,24710.51562
400.5800002,24844.92969
410.61000010000004,24861.66406
420.6200001,24768.19922
430.6300001,24638.01953
440.6400001,24848.25195
450.6500001,24836.02344
460.68000010000003,24870.60156
470.7,24702.78711
480.72,24840.44141
490.73,24856.06836
500.73,24769.28125
510.75,24967.17188
520.77,24900.81641
530.8000002,24837.12695
540.8100002,24931.08789
550.8200002,24813.74805
560.8400002000001,24766.04297
570.8400002000001,24723.85742
580.8600001,24867.23828
590.8800001,24946.81641
600.9000001,24779.21094
610.9300001,24854.95898
620.9400001,24832.63477
630.96,24877.30859
640.98,25003.19141
651.0,24907.53125
661.02,24964.86914
671.03,24949.10742
681.0500002,25056.64453
691.0500002,25009.93359
701.0700002,24997.60938
711.0800002000001,24904.20117
721.1000001,24891.85156
731.1100001,25097.24414
741.1000001,24926.63672
751.1200001,24925.50391
761.1200001,24910.92188
771.1500001,24916.51172
781.1700001,24964.86914
791.1800001,25013.43555
801.2,25036.03906
811.22,24980.64844
821.22,24969.47656
831.22,24955.83594
841.22,24914.32227
851.23,24944.66602
861.23,25051.9082
871.23,25043.97266
881.25,25187.625
891.26,25020.1875
901.26,25053.08984
911.27,25131.56445
921.29,25034.86133
931.29,25178.37305
941.3100002,25110.02344
951.3200002,25031.63477
961.3300002000001,24924.36719
971.3400002000001,25009.02148
981.3600001,25094.06836
991.3600001,25107.61328
1001.37,24935.64453
1011.37,24943.51953
1021.39,25087.29492
1031.39,25064.24023
1041.41,25042.79102
1051.42,24987.59766
1061.44,25120.41992
1071.43,24999.70117
1081.45,25102.04297
1091.45,25043.97266
1101.46,25059.85156
1111.48,25084.90234
1121.5,25102.04297
1131.51,25006.68945
1141.51,25094.06836
1151.53,25132.77539
1161.53,25039.57227
1171.54,24981.80273
1181.55,25161.12305
1191.56,25037.21289
1201.56,24973.9082
1211.55,25045.14844
1221.56,25050.72656
1231.58,25172.80859
1241.58,25016.94727
1251.6,25116.79688
1261.63,24992.02734
1271.64,24848.25195
1281.64,25051.9082
1291.65,25026.9375
1301.66,24936.78906
1311.68,24896.35156
1321.68,25014.60547
1331.68,24904.20117
1341.7,24927.77734
1351.7,24884.01758
1361.72,24988.54492
1371.72,25067.79883
1381.73,25073.37109
1391.75,25107.61328
1401.76,25058.66602
1411.77,24876.19141
1421.78,24903.07031
1431.78,24934.50391
1441.77,25054.27344
1451.79,24973.9082
1461.81,25019.01562
1471.82,25147.55664
1481.82,25151.21289
1491.83,25097.24414
1501.84,24961.41992
1511.85,25124.7832
1521.86,24965.84766
1531.86,25124.7832
1541.9,24987.38672
1551.91,25031.63477
1561.92,24966.01562
1571.94,24990.86719
1581.94,24982.96289
1591.96,24956.98438
1601.97,24958.13281
1611.98,25105.20898
1621.99,25174.03516
1632.01,24954.68945
1642.02,25148.77148
1652.04,24919.91406
1662.04,25007.85547
1672.06,24999.93945
1682.05,25022.5293
1692.08,25185.16211
1702.1,25156.7793
1712.12,25183.29492
1722.14,25061.0332
1732.14,25007.85547
1742.16,25113.18359
1752.17,25177.14648
1762.17,25107.61328
1772.18,24954.68945
1782.18,25007.85547
1792.19,25167.9082
1802.2,25198.12695
1812.2,25043.97266
1822.23,25061.0332
1832.24,25097.66602
1842.24,25177.14648
1852.26,24984.12305
1862.28,25095.26758
1872.3,25042.79102
1882.3,25106.41211
1892.3,25047.51172
1902.32,25011.10352
1912.32,25062.22266
1922.35,25118.00586
1932.36,25154.33984
1942.36,25188.85547
1952.4,24961.58008
1962.41,25058.66602
1972.42,25051.05859
1982.43,25013.43555
1992.44,25086.89258
2002.45,25089.28125
2012.47,25131.56445
2022.47,25206.16797
2032.48,25091.67383
2042.48,25082.51562
2052.49,25139.55859
2062.51,25158.00195
2072.53,25098.44141
2082.55,25120.41992
2092.56,25103.24609
2102.58,25179.60352
2112.59,25115.59375
2122.6,25032.51172
2132.61,25133.98828
2142.62,24942.37305
2152.64,25045.14844
2162.63,25014.60547
2172.65,25046.33203
2182.67,25261.33008
2192.68,25237.12695
2202.69,25056.29883
2212.68,25081.32227
2222.68,25007.85547
2232.71,25170.35742
2242.71,25045.14844
2252.72,25111.22656
2262.71,25084.90234
2272.74,25055.45898
2282.73,25007.85547
2292.75,25100.83789
2302.77,25096.04688
2312.78,24971.7832
2322.78,25163.57031
2332.78,25083.71094
2342.79,25104.44531
2352.79,25111.97852
2362.79,25135.20312
2372.81,25100.83789
2382.82,25137.13086
2392.83,25215.45508
2402.83,25039.57227
2412.84,25100.83789
2422.85,25133.98828
2432.86,25106.84961
2442.88,25218.5293
2452.88,25177.14648
2462.88,25153.12109
2472.89,25081.32227
2482.91,25012.26953
2492.92,25045.14844
2502.94,25114.38672
2512.93,25140.76953
2522.96,25187.625
2532.96,25062.22266
2542.96,25066.61133
2552.96,25113.18359
2562.99,25190.0918
2572.98,25076.94336
2583.0,25171.01758
2593.01,25174.03516
2603.01,25257.55859
2613.03,25300.50391
2623.03,25119.21484
2633.05,25163.57031
2643.06,25307.32812
2653.07,25255.77539
2663.08,25327.39062
2673.09,25140.76953
2683.11,25239.63281
2693.13,25270.67578
2703.13,25224.08789
2713.14,25222.26367
2723.16,25341.0625
2733.18,25114.38672
2743.19,25215.45508
2753.22,25199.98047
2763.23,25353.44141
2773.23,25285.58203
2783.23,25243.93945
2793.23,25331.6543
2803.25,25268.14844
2813.24,25233.38086
2823.26,25330.36914
2833.25,25444.46875
2843.26,25297.49609
2853.27,25410.16797
2863.28,25201.21289
2873.29,25203.69141
2883.31,25316.71094
2893.32,25278.75977
2903.34,25411.76562
2913.36,25287.33008
2923.36,25341.0625
2933.37,25306.05078
2943.39,25562.3457
2953.41,25327.39062
2963.41,25308.60352
2973.42,25419.93359
2983.42,25238.37891
2993.42,25430.75
3003.43,25346.60547
3013.44,25404.91406
3023.47,25449.7832
3033.48,25379.14453
3043.49,25322.25781
3053.49,25482.78711
3063.5,25410.16797
3073.52,25354.73242
3083.52,25339.77344
3093.52,25457.98438
3103.53,25427.85156
3113.54,25422.57031
3123.55,25319.27148
3133.56,25294.94922
3143.57,25372.30273
3153.58,25432.07031
3163.59,25430.75
3173.6,25381.75195
3183.6,25408.85547
3193.61,25342.34766
3203.62,25395.44336
3213.62,25484.12891
3223.63,25492.18945
3233.65,25425.21094
3243.66,25359.91211
3253.67,25374.90234
3263.68,25350.47852
3273.68,25429.42773
3283.71,25463.52344
3293.72,25451.11328
3303.76,25359.91211
3313.76,25406.22852
3323.79,25504.60547
3333.78,25308.60352
3343.8,25195.65625
3353.8,25401.99805
3363.82,25296.68555
3373.83,25376.20508
3383.83,25425.21094
3393.85,25383.05078
3403.85,25408.85547
3413.86,25551.34375
3423.88,25376.20508
3433.89,25423.88672
3443.89,25474.4043
3453.9,25634.16797
3463.92,25537.56641
3473.95,25600.97461
3483.96,25474.4043
3493.97,25536.20703
3503.98,25432.07031
3514.0,25451.11328
3524.02,25533.48438
3534.03,25411.76562
3544.03,25354.73242
3554.04,25383.05078
3564.06,25474.4043
3574.07,25380.11719
3584.09,25448.45117
3594.09,25406.22852
3604.09,25455.32031
3614.11,25503.25586
3624.12,25342.34766
3634.14,25392.51953
3644.16,25303.05273
3654.16,25503.25586
3664.16,25438.93555
3674.17,25401.99805
3684.18,25385.98828
3694.2,25411.48438
3704.22,25471.72656
3714.24,25391.20898
3724.24,25559.56055
3734.25,25475.74414
3744.25,25570.61719
3754.26,25463.52344
3764.27,25508.66016
3774.29,25534.76172
3784.3,25559.60352
3794.32,25526.50586
3804.33,25585.78906
3814.34,25522.43164
3824.34,25541.6582
3834.34,25471.72656
3844.35,25430.75
3854.36,25335.51172
3864.39,25481.2793
3874.39,25393.82812
3884.41,25492.18945
3894.42,25362.50586
3904.43,25448.45117
3914.44,25588.54883
3924.44,25445.79688
3934.46,25474.4043
3944.48,25474.4043
3954.48,25471.72656
3964.5,25466.19141
3974.5,25384.35938
3984.51,25373.60156
3994.52,25404.91406
4004.53,25351.77539
4014.54,25346.60547
4024.54,25574.74219
4034.55,25342.73828
4044.57,25376.20508
4054.58,25464.85352
4064.59,25457.98438
4074.59,25462.1875
4084.59,25445.79688
4094.6,25346.22266
4104.6,25477.08398
4114.61,25411.76562
4124.63,25392.51953
4134.64,25467.5293
4144.64,25429.42773
4154.64,25495.0332
4164.66,25518.36523
4174.68,25471.72656
4184.69,25459.52344
4194.7,25399.37109
4204.71,25440.25977
4214.72,25549.92188
4224.72,25427.85156
4234.75,25414.39648
4244.77,25440.25977
4254.79,25406.22852
4264.79,25477.25977
4274.79,25422.57031
4284.8,25534.84375
4294.8,25529.22656
4304.81,25493.53711
4314.82,25453.99023
4324.85,25486.8125
4334.86,25522.43164
4344.88,25481.2793
4354.88,25366.75391
4364.89,25511.48633
4374.89,25521.07617
4384.89,25541.6582
4394.91,25490.8457
4404.9,25429.42773
4414.93,25410.16797
4424.93,25566.46484
4434.94,25429.42773
4444.95,25393.82812
4454.96,25497.72266
4464.98,25441.58594
4474.99,25436.04492
4485.0,25460.6543
4495.01,25485.30664
4505.02,25621.74023
4515.02,25371.00195
4525.04,25456.65039
4535.04,25393.82812
4545.06,25481.2793
4555.07,25385.66797
4565.08,25464.85352
4575.09,25532.03906
4585.09,25462.1875
4595.1,25482.62109
4605.13,25530.67578
4615.14,25514.18945
4625.14,25441.58594
4635.15,25554.08008
4645.17,25456.65039
4655.18,25399.07422
4665.19,25400.68359
4675.2,25306.88281
4685.2,25417.0293
4695.21,25408.56836
4705.22,25530.67578
4715.24,25353.06836
4725.26,25507.30664
4735.27,25352.15039
4745.28,25393.82812
4755.3,25483.96484
4765.31,25378.8125
4775.33,25492.18945
4785.35,25437.60938
4795.36,25488.15625
4805.38,25403.30664
4815.38,25507.30664
4825.38,25339.37695
4835.39,25410.16797
4845.4,25284.31641
4855.42,25286.85352
4865.42,25474.4043
4875.43,25448.45117
4885.43,25355.65625
4895.44,25547.18359
4905.46,25332.53125
4915.46,25499.07227
4925.48,25370.65625
4935.49,25418.34766
4945.51,25473.0625
4955.51,25343.64062
4965.51,25482.62109
4975.53,25410.45117
4985.54,25396.75195
4995.56,25320.55469
5005.55,25284.31641
5015.56,25312.4375
5025.57,25522.43164
5035.59,25381.75195
5045.59,25456.65039
5055.58,25452.44531
5065.61,25497.72266
5075.62,25481.2793
5085.62,25369.35547
5095.64,25449.7832
5105.66,25346.22266
5115.66,25411.76562
5125.69,25500.42188
5135.69,25362.86328
5145.7,25323.54102
5155.72,25286.85352
5165.73,25296.22266
5175.74,25485.30664
5185.77,25356.02539
5195.79,25482.62109
5205.78,25607.91406
5215.8,25547.18359
5225.81,25343.64062
5235.82,25473.0625
5245.84,25349.1875
5255.85,25399.37109
5265.86,25385.66797
5275.87,25398.0625
5285.89,25469.05273
5295.89,25456.65039
5305.89,25552.71289
5315.88,25434.7207
5325.9,25423.88672
5335.92,25378.8125
5345.92,25430.49609
5355.94,25477.08398
5365.95,25468.86523
5375.95,25432.07031
5385.96,25399.37109
5395.97,25417.0293
5405.98,25401.99805
5416.0,25404.62305
5426.02,25516.90039
5436.03,25485.46875
5446.03,25441.58594
5456.04,25308.60352
5466.04,25376.20508
5476.05,25451.11328
5486.05,25499.07227
5496.06,25387.29102
5506.06,25466.19141
5516.07,25497.72266
5526.06,25450.00195
5536.08,25399.37109
5546.07,25455.32031
5556.1,25490.8457
5566.1,25413.08008
5576.12,25504.60547
5586.11,25481.2793
5596.13,25417.0293
5606.15,25540.29297
5616.15,25418.34766
5626.18,25497.72266
5636.18,25505.95117
5646.18,25479.93945
5656.21,25442.91602
5666.2,25380.44727
5676.22,25423.88672
5686.21,25522.43164
5696.23,25368.05664
5706.25,25483.96484
5716.25,25566.46484
5726.28,25408.85547
5736.29,25324.82422
5746.29,25377.50977
5756.3,25486.8125
5766.29,25474.4043
5776.31,25532.03906
5786.33,25566.46484
5796.35,25485.30664
5806.35,25487.99609
5816.36,25493.53711
5826.37,25529.32031
5836.39,25471.72656
5846.41,25460.6543
5856.42,25393.82812
5866.43,25415.71094
5876.44,25522.43164
5886.46,25525.14844
5896.48,25399.37109
5906.5,25453.77734
5916.52,25485.46875
5926.53,25479.93945
5936.53,25500.42188
5946.55,25510.00977
5956.57,25639.76953
5966.58,25562.3457
5976.59,25583.02734
5986.6,25689.79688
5996.6,25652.20312
6006.61,25544.45508
6016.61,25481.2793
6026.62,25562.3457
6036.63,25555.44727
6046.62,25625.92773
6056.65,25620.34766
6066.67,25490.8457
6076.67,25545.82227
6086.7,25527.95898
6096.71,25624.53125
6106.72,25533.40039
6116.73,25490.8457
6126.73,25554.08008
6136.74,25532.03906
6146.74,25537.56641
6156.75,25436.04492
6166.75,25627.25781
6176.75,25588.54883
6186.78,25800.33008
6196.78,25610.6543
6206.8,25551.28906
6216.81,25526.50586
6226.84,25749.85547
6236.84,25657.83203
6246.85,25581.64648
6256.85,25758.25586
6266.88,25613.43359
6276.89,25699.57812
6286.9,25632.84961
6296.91,25601.0
6306.92,25523.78906
6316.96,25532.03906
6326.96,25639.76953
6336.99,25533.40039
6347.01,25530.67578
6357.02,25558.18945
6367.03,25668.99609
6377.04,25584.4082
6387.05,25684.2832
6397.07,25699.57812
6407.07,25581.64648
6417.08,25625.92773
6427.1,25503.12109
6437.1,25627.32617
6447.1,25560.93359
6457.11,25699.57812
6467.11,25639.76953
6477.12,25595.45703
6487.13,25650.90234
6497.14,25655.01367
6507.16,25580.26758
6517.17,25614.82812
6527.18,25526.50586
6537.18,25677.19922
6547.19,25649.5
6557.19,25649.5
6567.2,25627.25781
6577.2,25584.4082
6587.2,25639.76953
6597.23,25591.31836
6607.23,25686.95898
6617.23,25616.21875
6627.24,25730.20117
6637.25,25744.08789
6647.25,25632.84961
6657.27,25600.97461
6667.27,25584.4082
6677.29,25721.82422
6687.29,25763.75781
6697.29,25566.46484
6707.3,25797.40039
6717.3,25673.09961
6727.32,25721.82422
6737.35,25706.51562
6747.35,25522.43164
6757.37,25520.96875
6767.36,25552.71289
6777.38,25805.82617
6787.38,25646.6875
6797.38,25555.44727
6807.4,25728.76758
6817.4,25624.53125
6827.42,25588.54883
6837.43,25684.2832
6847.42,25717.74609
6857.43,25827.11328
6867.45,25674.51562
6877.45,25705.08984
6887.45,25533.40039
6897.44,25825.63867
6907.46,25631.44922
6917.47,25678.61328
6927.5,25601.0
6937.51,25681.44727
6947.53,25571.98828
6957.53,25749.85547
6967.54,25667.58398
6977.56,25623.13477
6987.57,25698.1543
6997.57,25713.45312
7007.59,25681.44727
7017.61,25616.21875
7027.62,25659.24023
7037.63,25673.09961
7047.62,25623.13477
7057.64,25631.44922
7067.63,25657.83203
7077.64,25537.56641
7087.65,25677.34766
7097.67,25606.52344
7107.68,25681.44727
7117.68,25652.20312
7127.67,25681.44727
7137.69,25648.09375
7147.69,25749.85547
7157.71,25707.94531
7167.73,25698.1543
7177.75,25681.44727
7187.75,25741.46094
7197.77,25612.04688
7207.78,25634.24805
7217.8,25787.52734
7227.81,25670.27344
7237.83,25673.09961
7247.84,25606.52344
7257.86,25667.45117
7267.87,25634.24805
7277.89,25731.63672
7287.9,25574.74219
7297.91,25677.34766
7307.92,25766.6582
7317.93,25541.6582
7327.93,25653.71875
7337.94,25784.93945
7347.95,25655.01367
7357.98,25766.6582
7368.0,25620.34766
7378.01,25614.82812
7388.02,25645.28711
7398.04,25680.02734
7408.04,25587.17188
7418.05,25678.61328
7428.05,25645.28711
7438.06,25609.30273
7448.06,25562.3457
7458.09,25562.3457
7468.09,25730.20117
7478.11,25752.47266
7488.12,25794.48242
7498.12,25783.48242
7508.13,25603.74805
7518.14,25723.25977
7528.14,25687.12109
7538.15,25664.75781
7548.15,25756.80664
7558.15,25867.93555
7568.16,25671.68359
7578.17,25709.37305
7588.16,25674.51562
7598.18,25631.44922
7608.2,25783.48242
7618.23,25800.33008
7628.24,25819.75586
7638.24,25741.46094
7648.24,25733.07617
7658.25,25674.51562
7668.26,25605.13477
7678.27,25648.09375
7688.27,25735.70703
7698.28,25591.31836
7708.29,25581.64648
7718.29,25682.86328
7728.31,25620.34766
7738.32,25559.56055
7748.32,25627.25781
7758.34,25612.08594
7768.35,25485.30664
7778.36,25563.71484
7788.38,25755.35742
7798.39,25705.08984
7808.42,25512.83789
7818.44,25545.82227
7828.43,25529.32031
7838.45,25652.20312
7848.45,25620.34766
7858.46,25567.83594
7868.46,25490.8457
7878.48,25558.18945
7888.48,25571.98828
7898.49,25532.03906
7908.5,25631.44922
7918.5,25646.6875
7928.52,25639.68164
7938.52,25673.09961
7948.53,25619.00977
7958.53,25588.54883
7968.56,25677.19922
7978.56,25632.84961
7988.57,25713.45312
7998.57,25709.17188
8008.57,25565.08984
8018.59,25655.01367
8028.6,25649.5
8038.61,25549.92188
8048.61,25607.91406
8058.62,25698.1543
8068.64,25580.26758
8078.65,25762.31055
8088.67,25613.43359
8098.67,25671.68359
8108.69,25655.01367
8118.7,25762.31055
8128.7,25668.86133
8138.72,25643.88281
8148.73,25749.85547
8158.73,25811.32422
8168.75,25745.52734
8178.77,25801.43945
8188.78,25661.93945
8198.78,25718.96289
8208.79,25716.31836
8218.79,25724.4668
8228.82,25592.68945
8238.84,25753.91797
8248.84,25624.53125
8258.85,25584.41211
8268.87,25717.53125
8278.87,25695.31055
8288.89,25596.83984
8298.9,25762.31055
8308.92,25656.42383
8318.93,25678.61328
8328.93,25645.28711
8338.94,25718.96289
8348.95,25720.39258
8358.96,25674.51562
8368.97,25836.63086
8378.98,25757.97461
8388.99,25616.16992
8399.01,25612.04688
8409.03,25674.37109
8419.04,25452.6582
8429.04,25583.0332
8439.04,25538.92773
8449.04,25552.71289
8459.07,25541.73047
8469.1,25551.34375
8479.11,25780.56836
8489.12,25684.12305
8499.12,25639.76953
8509.12,25716.31836
8519.12,25709.37305
8529.15,25537.56641
8539.15,25772.16016
8549.16,25707.94531
8559.17,25631.44922
8569.19,25720.39258
8579.2,25648.09375
8589.21,25740.02344
8599.22,25673.09961
8609.23,25645.28711
8619.25,25681.44727
8629.24,25655.01367
8639.25,25659.24023
8649.26,25591.31836
8659.26,25638.36523
8669.27,25645.37891
8679.29,25681.44727
8689.3,25584.41211
8699.3,25691.21875
8709.33,25638.36523
8719.35,25670.27344
8729.36,25523.78906
8739.36,25584.4082
8749.38,25790.44141
8759.39,25688.37695
8769.4,25671.68359
8779.4,25663.3457
8789.41,25623.13477
8799.42,25674.37109
8809.44,25727.33203
8819.43,25660.53125
8829.45,25598.22852
8839.45,25617.61328
8849.45,25581.64648
8859.47,25569.21484
8869.49,25641.16992
8879.51,25529.32031
8889.52,25607.91406
8899.51,25681.44727
8909.52,25489.49609
8919.54,25570.61719
8929.57,25585.78906
8939.58,25605.13477
8949.59,25735.95117
8959.6,25605.13477
8969.62,25530.67578
8979.63,25678.61328
8989.63,25503.12109
8999.63,25570.61719
9009.64,25569.24023
9019.66,25596.83984
9029.67,25580.26758
9039.68,25627.25781
9049.7,25560.93359
9059.71,25691.21875
9069.71,25459.31836
9079.72,25594.07422
9089.73,25589.93359
9099.73,25673.09961
9109.76,25571.98828
9119.79,25558.18945
9129.8,25549.92188
9139.8,25591.31836
9149.81,25577.51367
9159.83,25437.60938
9169.84,25573.36719
9179.85,25616.21875
9189.87,25585.78906
9199.88,25588.54883
9209.9,25518.25586
9219.91,25477.25977
9229.91,25536.20703
9239.93,25518.36523
9249.93,25621.74023
9259.94,25532.03906
9269.95,25584.41211
9279.95,25555.44727
9289.98,25492.18945
9299.99,25463.52344
9309.99,25585.78906
9320.0,25514.18945
9330.01,25741.46094
9340.03,25488.15625
9350.03,25558.18945
9360.04,25533.40039
9370.04,25541.6582
9380.06,25517.01172
9390.07,25565.08984
9400.07,25538.92773
9410.08,25481.2793
9420.08,25515.54688
9430.09,25508.66016
9440.11,25464.85352
9450.1,25541.6582
9460.12,25573.38672
9470.13,25632.84961
9480.13,25515.54688
9490.15,25515.54688
9500.17,25558.18945
9510.18,25552.71289
9520.22,25623.13477
9530.23,25585.78906
9540.24,25532.03906
9550.26,25617.61328
9560.26,25567.83594
9570.27,25602.36133
9580.28,25473.0625
9590.28,25623.13477
9600.3,25515.54688
9610.31,25610.6543
9620.32,25631.44922
9630.33,25490.8457
9640.34,25613.43359
9650.35,25602.38672
9660.36,25569.21484
9670.35,25584.4082
9680.36,25573.36719
9690.37,25525.14844
9700.38,25624.53125
9710.4,25691.21875
9720.42,25671.68359
9730.42,25688.37695
9740.44,25545.82227
9750.43,25516.90039
9760.45,25607.91406
9770.45,25592.70117
9780.47,25461.98828
9790.47,25657.83203
9800.47,25620.34766
9810.47,25587.17188
9820.47,25670.27344
9830.48,25567.83594
9840.48,25693.88672
9850.48,25567.83594
9860.49,25630.04883
9870.5,25588.54883
9880.53,25664.75781
9890.53,25482.62109
9900.55,25463.52344
9910.57,25619.00977
9920.59,25584.4082
9930.59,25543.02344
9940.6,25483.96484
9950.61,25790.44141
9960.65,25664.75781
9970.67,25749.85547
9980.69,25670.27344
9990.69,25648.09375
10000.7,25587.16992
10010.71,25703.66602
10020.72,25765.20898
10030.73,25756.80664
10040.73,25691.21875
10050.74,25716.31836
10060.74,25717.74609
10070.75,25598.22852
10080.76,25625.92773
10090.76,25793.36328
10100.78,25612.04688
10110.78,25655.01367
10120.8,25681.44727
10130.81,25620.34766
10140.82,25610.69531
10150.83,25614.82812
10160.85,25548.55273
10170.84,25659.24023
10180.87,25738.58008
10190.89,25694.06445
10200.9,25753.91797
10210.9,25670.27344
10220.92,25681.44727
10230.92,25741.46094
10240.92,25699.57812
10250.94,25775.06836
10260.96,25625.92773
10270.98,25657.83203
10280.99,25638.36523
10291.01,25585.78906
10301.01,25740.02344
10311.03,25671.68359
10321.04,25516.90039
10331.04,25746.9668
10341.06,25569.24023
10351.09,25606.52344
10361.09,25603.74805
10371.12,25614.82812
10381.14,25664.75781
10391.15,25565.08984
10401.16,25666.16992
10411.18,25724.69336
10421.18,25703.66602
10431.19,25716.31836
10441.2,25617.61328
10451.2,25763.75781
10461.22,25634.24805
10471.21,25656.42383
10481.23,25770.71094
10491.24,25571.98828
10501.25,25716.31836
10511.27,25712.02734
10521.26,25641.16992
10531.29,25688.37695
10541.29,25772.16016
10551.31,25861.98633
10561.32,25765.20898
10571.33,25798.86523
10581.34,25801.79102
10591.34,25811.69336
10601.35,25803.25781
10611.36,25807.29492
10621.38,25790.44141
10631.39,25782.02734
10641.41,25719.17969
10651.41,25845.50195
10661.41,25764.04883
10671.43,25768.10938
10681.44,25782.02734
10691.44,25851.0
10701.46,25860.94922
10711.46,25776.51953
10721.47,25717.74609
10731.48,25681.44727
10741.5,25779.11719
10751.5,25773.61328
10761.5,25724.69336
10771.51,25880.41016
10781.53,25698.1543
10791.54,25766.6582
10801.56,25829.66406
10811.56,25707.94531
10821.58,25649.5
10831.6,25812.79297
10841.61,25738.58008
10851.63,25798.86523
10861.62,25800.33008
10871.65,25873.42578
10881.68,25849.51953
10891.7,25782.02734
10901.71,25797.40039
10911.71,25798.86523
10921.71,25841.0625
10931.73,25952.94336
10941.74,25997.19531
10951.75,25859.01953
10961.78,25825.63867
10971.79,25856.49414
10981.79,25883.39648
10991.79,25756.80664
11001.8,25710.80273
11011.82,25861.98633
11021.82,25810.22656
11031.84,25881.90039
11041.85,25828.19141
11051.85,25760.86523
11061.86,25887.39062
11071.87,25753.91797
11081.88,25797.40039
11091.9,25780.56836
11101.91,25755.35742
11111.93,25794.48242
11121.93,25731.63672
11131.95,25751.30078
11141.96,25828.19141
11151.97,25782.02734
11161.97,25745.52734
11171.99,25721.82422
11182.0,25800.33008
11192.0,25630.04883
11202.02,25587.17188
11212.01,25775.06836
11222.03,25657.83203
11232.05,25731.63672
11242.05,25707.94531
11252.06,25673.09961
11262.07,25681.44727
11272.09,25648.09375
11282.11,25763.75781
11292.12,25663.3457
11302.13,25819.75586
11312.14,25705.08984
11322.17,25718.96289
11332.19,25738.33398
11342.2,25794.48242
11352.21,25661.93945
11362.22,25680.02734
11372.24,25776.20898
11382.25,25807.29492
11392.25,25681.44727
11402.26,25724.4668
11412.27,25787.52734
11422.28,25770.71094
11432.29,25817.19727
11442.29,25756.80664
11452.29,25824.16797
11462.3,25848.03516
11472.32,25860.5
11482.32,25860.94922
11492.32,25844.01953
11502.34,25842.54297
11512.34,25737.14648
11522.37,25838.10938
11532.39,25828.19141
11542.4,25671.68359
11552.42,25652.20312
11562.43,25772.16016
11572.43,25685.70117
11582.45,25748.41016
11592.45,25710.59766
11602.47,25589.93359
11612.49,25787.52734
11622.5,25863.47266
11632.52,25807.29492
11642.54,25911.875
11652.54,25825.63867
11662.55,25901.87305
11672.56,25804.36523
11682.59,25910.36914
11692.6,25866.44727
11702.62,25903.37305
11712.62,26009.68945
11722.65,25991.04688
11732.67,25990.17578
11742.69,25883.39648
11752.71,25980.96875
11762.7,25884.89453
11772.72,25927.38281
11782.73,25837.04102
11792.74,25870.44922
11802.74,25830.05859
11812.76,25971.53906
11822.77,25744.3457
11832.77,25795.94531
11842.79,25835.56445
11852.8,25775.06836
11862.79,25820.13867
11872.81,25668.99609
11882.82,25705.08984
11892.83,25756.80664
11902.85,25726.12695
11912.86,25790.44141
11922.87,25849.51953
11932.87,25765.20898
11942.87,25741.46094
11952.87,25709.37305
11962.89,25819.75586
11972.9,25776.51953
11982.9,25755.35742
11992.91,25606.52344
12002.92,25721.82422
12012.94,25741.46094
12022.95,25755.35742
12032.95,25831.13477
12042.97,25761.15039
12052.98,25741.46094
12063.0,25682.86328
12073.0,25817.19727
12083.01,25801.79102
12093.02,25818.66602
12103.04,25845.07812
12113.06,25662.05859
12123.06,25751.30078
12133.08,25649.5
12143.09,25777.97656
12153.1,25706.51562
12163.1,25578.89062
12173.12,25677.34766
12183.14,25765.20898
12193.15,25932.86523
12203.17,25811.69336
12213.18,25652.3125
12223.19,25685.70117
12233.19,25705.08984
12243.21,25670.27344
12253.22,25598.22852
12263.23,25775.06836
12273.25,25710.59766
12283.26,25773.61328
12293.25,25735.95117
12303.27,25773.61328
12313.27,25724.69336
12323.27,25763.75781
