t,r
0.0,17982.73828
10.0,17972.56641
20.01999998,17889.39258
30.02999997,17930.75586
40.06000018,17917.78711
50.08000016,17884.4082
60.09000015,17955.19531
70.09000015,17937.12695
80.10000014,17815.20508
90.11000013,17925.91602
100.1200001,18020.69531
110.13000009999999,18002.00781
120.1400001,18009.13086
130.1500001,17938.125
140.1600001,17887.05859
150.1800001,17869.16211
160.21,17999.41602
170.21,17928.44727
180.23,17958.50781
190.25,17961.83008
200.24,17962.5918
210.25,17952.13281
220.25,17956.98242
230.25,17918.5625
240.28,17972.28711
250.3100002,17995.00977
260.3200002,17887.05859
270.3200002,17995.31836
280.36000010000004,18010.21875
290.3700001,17922.62305
300.3800001,18089.33594
310.3900001,17985.60938
320.4100001,17972.28711
330.4100001,18052.13086
340.4400001,17979.99023
350.45,17947.04102
360.47,17875.69141
370.49,17948.05273
380.5,17867.60156
390.5,17875.69141
400.52,17978.93945
410.53,17987.125
420.56000020000005,17922.62305
430.58000020000003,18029.66797
440.6000001,18023.30078
450.61000010000004,18010.97266
460.6300001,18025.9082
470.6500001,17975.61328
480.67000010000004,17993.49609
490.68000010000003,18012.06055
500.6900001,17934.05469
510.71,18068.64648
520.73,18058.89258
530.75,18005.35547
540.77,18008.37891
550.77,18043.13672
560.78,18002.00781
570.8,17990.46484
580.8100002,18056.25781
590.8200002,18066.00586
600.8300002000001,18089.33594
610.8300002000001,18043.88477
620.8500001,18036.39453
630.8500001,17961.83008
640.8700001,17975.89844
650.8900001000001,18002.76367
660.8900001000001,17989.70508
670.9000001,18039.01562
680.9100001,18095.69531
690.9100001,18074.26758
700.9100001,18057.75
710.9200001,18002.76367
720.9200001,18022.54688
730.9400001,18102.50781
740.96,18142.61523
750.96,18114.95703
760.96,18005.35547
770.98,18139.17969
780.98,18159.30273
791.0,18164.20508
801.03,18128.1582
811.02,18090.81641
821.04,18146.26172
831.05,18146.05469
841.0600002,18129.38867
851.0600002,18181.64844
861.0800002000001,18184.39062
871.0900002000001,18155.85742
881.1200001,18188.57812
891.1200001,18192.90234
901.1200001,18112.01562
911.1200001,18245.33008
921.1400001000001,18141.37109
931.1400001000001,18107.12109
941.1400001000001,18103.98242
951.1500001,18108.12891
961.1400001000001,18174.01172
971.1600001,18117.89648
981.1600001,18110.80469
991.1600001,18090.81641
1001.17,18113.01172
1011.17,18050.24805
1021.16,18174.01172
1031.18,18068.64648
1041.19,18093.47852
1051.2,18102.50781
1061.21,18094.95703
1071.21,18052.13086
1081.22,18017.3418
1091.23,18105.91992
1101.25,18109.33594
1111.25,18058.89258
1121.25,18092.74023
1131.25,18010.21875
1141.25,18073.52148
1151.26,18077.6582
1161.26,18152.41016
1171.28,18124.49219
1181.28,18101.76953
1191.3,18183.66602
1201.3,18098.35938
1211.31,18184.39062
1221.33,18121.06641
1231.34,18087.11328
1241.35,18110.80469
1251.36,18184.39062
1261.37,18216.51562
1271.37,18130.85352
1281.38,18174.01172
1291.39,18175.45703
1301.4,18069.39062
1311.41,18110.80469
1321.41,18144.07422
1331.42,18096.14453
1341.43,18186.55469
1351.44,18079.88281
1361.45,18224.29688
1371.46,18168.38281
1381.46,18121.06641
1391.47,18213.12891
1401.49,18153.86719
1411.5,18230.56445
1421.51,18230.56445
1431.51,18210.26367
1441.52,18224.92969
1451.53,18125.96094
1461.53,18201.87109
1471.55,18169.10742
1481.55,18163.47852
1491.55,18115.69336
1501.57,18174.01172
1511.57,18159.30273
1521.59,18096.88477
1531.6,18154.59375
1541.61,18139.9082
1551.62,18224.29688
1561.62,18205.34961
1571.65,18244.61914
1581.65,18171.11328
1591.67,18135.74609
1601.68,18171.83789
1611.67,18286.8418
1621.69,18199.83594
1631.69,18174.01172
1641.7,18185.11133
1651.72,18225.00977
1661.73,18205.34961
1671.73,18259.38867
1681.75,18267.11914
1691.77,18220.0957
1701.79,18268.51953
1711.8,18210.26367
1721.82,18216.60938
1731.83,18242.48633
1741.85,18243.19922
1751.86,18277.67773
1761.88,18244.61914
1771.88,18241.06055
1781.88,18260.77734
1791.89,18197.67969
1801.9,18253.75781
1811.91,18239.69727
1821.92,18193.48828
1831.93,18269.92969
1841.93,18201.87109
1851.96,18208.21875
1861.98,18215.17773
1871.98,18214.46289
1881.99,18249.54492
1892.01,18280.50195
1902.02,18230.56445
1912.04,18299.54688
1922.05,18250.25195
1932.06,18243.9082
1942.07,18260.77734
1952.08,18241.77539
1962.11,18322.84766
1972.13,18192.04492
1982.14,18185.83203
1992.16,18200.55469
2002.16,18236.19727
2012.17,18216.60938
2022.19,18233.41602
2032.2,18242.54102
2042.21,18204.63086
2052.21,18259.38867
2062.22,18209.54883
2072.22,18286.8418
